Freq	Type
2350	you
1134	the
1001	a
786	oh
702	it
648	no
645	i
623	are
590	here
587	that
576	to
552	go
529	on
503	come
490	what
457	we
451	your
445	is
437	okay
432	see
401	be
366	this
326	yeah
324	and
319	good
314	it's
305	all
300	don't
288	me
278	huh
274	do
272	there
249	for
243	yes
238	right
227	look
225	up
218	get
217	in
208	one
199	out
186	that's
185	boy
185	have
179	some
176	can
171	not
169	let's
169	got
166	like
166	brooklyn
166	now
162	he's
159	bay
155	so
146	too
144	with
143	where
141	my
139	he
139	ball
138	put
134	hey
133	doing
132	what's
130	i'm
129	back
126	of
125	we'll
124	there's
123	want
121	more
121	just
119	they
118	play
117	ma
116	very
114	say
109	did
109	little
106	try
106	way
105	off
104	down
100	big
98	sweetheart
97	hello
96	hi
94	was
93	think
90	him
90	them
87	knee
87	can't
85	at
84	lee
82	dillon
82	where's
80	nice
78	going
76	t
76	chicken
75	take
72	how
72	water
72	stop
72	let
70	watch
70	m
69	well
69	these
68	give
65	thing
65	kitty
64	but
63	i'll
63	eat
60	here's
60	those
57	boo
55	other
54	if
53	ew
53	bout
53	why
53	side
51	who
48	mkay
48	whoa
48	day
47	juice
46	walk
46	his
46	yourself
43	d
43	ready
43	toe
43	didn't
43	bean
42	pee
41	sleepy
41	leg
41	pull
41	sit
40	something
40	stick
40	will
40	coming
39	foot
38	boneen
38	need
37	would
37	hit
37	thank
37	around
36	hot
36	head
36	lemme
35	nose
35	silly
35	may
34	looking
34	when
34	getting
33	chips
33	push
33	bird
33	who's
33	dinner
33	make
33	does
33	baby
33	peg
33	careful
32	daddy
32	bite
32	hand
31	chair
31	bit
31	really
31	phone
31	book
31	three
31	goes
31	hang
30	hair
30	doggie
30	hands
30	by
29	through
29	or
29	though
29	comes
29	turn
28	were
28	then
28	love
28	door
28	cupcake
27	hold
27	wet
27	else
26	done
26	throw
26	icky
26	feet
25	had
25	rocks
25	mister
24	boom
24	name
24	diaper
24	supposed
24	part
23	doesn't
23	feel
23	floor
23	better
23	mean
23	run
23	tired
23	cheese
23	because
23	tree
22	cow
22	poopie
22	stuff
22	much
22	moomooshas
21	which
21	leaf
21	lettuce
21	dada
21	booboo
20	brush
20	arm
20	piece
20	her
20	fish
20	has
20	says
20	moo
19	ya
19	time
19	yep
19	you'll
19	dry
19	cut
19	won't
19	move
19	fell
19	leave
19	ducks
19	drum
19	bottle
18	birds
18	stroller
18	hungry
18	find
18	clean
18	our
18	things
18	still
18	stand
18	noodles
18	bunny
18	wash
18	as
18	help
18	shirt
17	sun
17	eating
17	kick
17	pattycake
17	lunch
17	walking
17	hat
17	food
17	tell
17	she
17	should
17	went
16	from
16	spoon
16	aren't
16	wait
16	booboon
16	might
16	tasty
16	keep
16	could
16	clap
16	later
15	kiss
15	must
15	room
15	face
15	shoes
15	roll
15	second
15	s
15	dirty
15	lord
15	saw
15	man
15	leaves
15	bring
14	squirrel
14	night
14	minute
14	gone
14	drink
14	stew
14	orange
14	chance
14	tough
14	gee
14	bo
14	great
14	crazy
14	mad
14	fix
14	even
13	hard
13	shoe
13	sing
13	us
13	ground
13	oops
13	kinda
13	mouth
13	isn't
13	house
13	owl
13	said
13	baa
12	guess
12	n
12	while
12	catch
12	change
12	bah
12	show
12	read
12	remember
12	glass
12	told
12	hope
12	crawl
12	thirsty
12	v
12	cup
12	please
12	toes
12	yuck
11	new
11	vacuum
11	hurt
11	feed
11	pretty
11	bad
11	rest
11	whoop
11	looks
11	fold
11	funny
11	towel
11	fall
11	angle
11	babe
11	jumping
11	truck
11	ouch
11	wide
11	wanted
10	yay
10	touch
10	light
10	cake
10	bowl
10	how's
10	stay
10	sleep
10	yard
10	nope
10	cold
10	wave
10	beans
10	only
10	chip
10	close
10	she's
10	found
10	guys
9	doggies
9	pulling
9	frilly
9	uhhuh
9	talk
9	long
9	spider
9	yum
9	heat
9	warm
9	after
9	fast
9	trees
9	came
9	game
9	eight
9	pants
9	sweetie
9	front
9	probably
