,0,1,2,3,4,5,6,7,8,9,mean
ag,0.04315695752701181,0.03525702544183232,0.03898453490181188,0.0051200802908588465,0.015497266545534787,0.014624766677841908,0.0010290171722808431,0.030488592654187387,0.00037050813280103354,0.01437301653213095,0.019890176587629177
dibs,0.0289709101150758,0.0562649714982119,0.01991660059040632,0.00955848995630765,0.007420071558346043,0.004168900219164937,0.024853472059221653,0.04448247206755287,0.04677276062409277,0.05059008426889131,0.029299873295727124
puddle,0.05087715280744326,0.03248909699865856,0.025137790441171662,0.0127764751251114,0.049090856858350976,0.021754745070470254,0.029157036907892567,0.025428006183173354,0.029145858415760333,0.020086916903032756,0.029594393571106513
baseline,0.010344832653975499,0.0034498905516588403,0.01688437249447788,0.0013741435593108595,0.0007974225722670768,0.0008775049089391214,0.003422693259393015,0.0022596318938273596,9.748295800885516e-06,0.0057272889249063005,0.004514752911455684
dpseg,0.05020689943445327,0.040465273453289194,0.019130336326456433,0.02100849240701628,0.030229790005335825,0.06521357795917211,0.016477839839972832,0.03237152091861708,0.023700737402399075,0.021660596040567307,0.03204650637872794
tp/absoluteforward,0.09466579427731538,0.06455861195585055,0.024908411862982763,0.027141774783373113,0.01719941821926044,0.005304002441086768,0.02851720415993493,0.05146287669690278,0.037329258285340554,0.014875418331894213,0.03659627710139415
tp/absolutebackward,0.030000994514210972,0.020467943420186596,0.007804828699834978,5.62716277777417e-08,0.00261510398654416,0.02358794287854336,0.002807752550179735,0.022267632306543158,0.002253597974587604,0.013905167879845063,0.01257110204821034
tp/relativeforward,0.04235752688674369,0.016895870033523983,0.011550356688670303,0.011982703544006728,0.017954951244977476,0.01946694042470862,0.0021235407669141257,0.021267292206534685,0.0035981675894575715,0.004282591154380801,0.015147994053991799
tp/relativebackward,0.00801043895976662,0.0028918432194998023,0.000556238999156616,0.0029772249450629256,0.00034106267634574346,0.0006632950923187415,0.00045629896641104055,0.00042999830561048615,2.6202213596796067e-05,2.8829334276904413e-06,0.0016355486311196463
gold,0.09347089773808896,0.08115763315375674,0.04584979509197041,0.04599117454259294,0.046163786321800626,0.04514709268619663,0.05837727007088592,0.03893257783839776,0.04900662303566407,0.04716157806119105,0.05512584285405451
