,0,1,2,3,4,5,6,7,8,9,mean
ag,0.05331685461297667,0.04920584994485771,0.022723101513193015,0.024234609967450384,0.048903949404186735,0.020836079678163536,0.031997892044416894,0.033542235942342236,0.027731153194027063,0.026779959532900372,0.03392716858345146
dibs,0.06539851811477959,0.0388432935048666,0.03886883487490987,0.025940702341343696,0.039022031294312545,0.03035551500414183,0.041852537512013,0.030552066936432278,0.03297276463061246,0.03638254037713903,0.038018880459055084
puddle,0.019091849670965652,0.006061447426517303,0.018720061504525577,0.013005587228497362,0.01432179453590054,0.009277568953164082,0.009005368088065619,0.016967470107386803,0.007809371256225876,0.006335658078228032,0.012059617684947685
baseline,0.0458435223884546,0.0508824252014207,0.024679968516530457,0.03701218446555829,0.01777986190433703,0.022439603856065395,0.021414275894538086,0.03970891363060483,0.019894488772150706,0.018052599018380126,0.029770784364804022
dpseg,0.06882814280734453,0.06040156188779441,0.02484975206759561,0.030079022681527377,0.04944691129571212,0.030010512907157807,0.03944578892294813,0.03768409432598143,0.020886822669425827,0.025205975229293066,0.03868385847947803
tp/absoluteforward,0.07122962086353472,0.05076879728891113,0.053468542067443114,0.04545964586637509,0.03732785259592197,0.032625013138052744,0.05311586527217215,0.039421445961046894,0.042786350505618534,0.04934552179068721,0.04755486553497636
tp/absolutebackward,0.02629687965585502,0.02234154923922658,0.01230259559911377,0.0025972160661115787,0.010669221958104979,0.006766298701161353,0.010114663674244366,0.00953029239192664,5.940538902986507e-05,0.006923337142591003,0.010760145981736515
tp/relativeforward,0.1820557811052373,0.13209546398542585,0.10834991440457113,0.09593591293780272,0.0911767066581407,0.09618083270673632,0.09418410691567262,0.061059598286295834,0.09575333033536332,0.10458823946787228,0.10613798868031181
tp/relativebackward,0.02854278999813861,0.016518222502856953,0.026987844191654054,0.008972696982987655,0.03151218594782598,0.014668033777966456,0.009530074238351918,0.046793962927392185,0.015521528796004457,0.040397550109561794,0.023944488947274006
gold,0.09347089773808896,0.08115763315375674,0.04584979509197041,0.04599117454259294,0.046163786321800626,0.04514709268619663,0.05837727007088592,0.03893257783839776,0.04900662303566407,0.04716157806119105,0.05512584285405451
