Freq	Type
2503	you
1487	the
968	oh
795	that
794	it
727	your
681	i
597	what
595	are
568	to
506	no
475	see
471	in
450	k
433	we
427	and
414	all
397	here
392	do
367	go
365	got
354	is
330	there
324	can
309	get
275	yeah
264	on
259	up
241	my
230	come
228	one
226	have
223	for
221	me
219	mommy
219	down
212	put
199	right
198	did
193	this
190	at
184	don't
181	look
180	man
172	want
170	some
168	with
162	like
157	let
154	good
149	where's
148	baby
148	say
147	more
145	so
139	just
138	d
137	huh
136	thing
135	out
134	take
132	eat
131	too
130	ann
130	i'm
125	let's
122	where
119	be
115	how
111	them
109	l
108	teeth
106	he
105	kitty
99	not
99	back
97	off
94	pee
94	hey
93	they
92	there's
91	now
90	play
88	dillon
88	lit
88	that's
88	way
86	doing
84	done
84	was
84	gonna
84	it's
83	boom
82	knee
81	tell
80	ready
80	hi
79	over
78	mom
77	about
74	what's
73	going
72	love
71	yes
70	meow
70	ease
68	we'll
67	big
67	may
66	goodness
65	away
65	ball
64	sit
63	does
62	him
62	t
61	head
59	daddy
59	when
57	rye
56	book
56	can't
56	turn
56	lee
56	read
54	lemme
54	“i'll
54	kit
53	day
52	n
52	something
51	better
50	those
50	or
49	clean
49	whole
49	give
48	uhoh
48	try
48	hello
47	hand
47	fur
47	ya
46	here's
46	then
46	but
45	i'll
45	floor
44	boy
44	need
44	these
44	his
44	lie
44	why
44	hands
43	tick
43	getting
43	girl
42	fish
42	chew
42	close
41	didn't
41	pooh
41	find
41	time
40	bear
40	nose
40	think
40	were
40	goes
39	who
39	mouth
38	again
38	face
37	new
37	well
37	juice
36	side
36	door
36	hair
36	watch
36	comes
36	bite
36	dye
35	very
35	cup
34	wash
33	snot
33	hop
33	would
32	dear
32	three
32	silly
32	blue
32	purr
32	don
31	shoes
31	by
31	he's
31	neck
31	water
31	please
30	dada
30	help
30	who's
30	has
30	whoa
30	shoe
30	feel
29	yummy
29	milk
28	yuck
28	things
28	cheese
28	you've
28	looking
28	hold
28	should
28	pick
27	make
27	another
27	had
27	miss
26	doesn't
26	babe
26	spider
26	thank
26	much
26	brush
26	will
26	playing
26	chair
25	keep
25	green
25	ago
25	bit
25	pull
25	around
25	car
25	wanna
25	most
24	fun
24	phone
24	feet
24	sir
24	under
24	page
23	else
23	fine
23	wait
23	stuff
23	food
23	bed
23	bunny
23	cold
23	cat
23	from
23	house
23	spoon
22	upstairs
22	peas
22	careful
21	jump
21	mama
21	night
21	belly
21	hot
20	ew
20	our
20	she
20	really
20	funny
19	could
19	foot
19	pig
19	eating
19	sun
19	clothes
19	toes
19	ten
19	pretty
19	hit
18	any
18	dove
18	bottle
18	trying
18	nine
18	baa
18	cheerios
18	bowl
18	fall
18	gimme
18	said
18	tray
18	own
18	drink
18	hang
17	mirror
17	eyes
17	moo
17	gotta
17	change
17	yum
17	guess
17	kiss
17	tall
16	toy
16	wow
16	body
16	balls
16	home
16	lamb
16	eight
16	fingers
16	chick
16	nana
15	eve
15	tongue
15	snow
15	sigh
15	washed
15	key
15	seven
15	of
15	row
15	such
15	splash
15	work
15	five
15	sheep
15	talking
15	lay
15	basket
15	bam
15	real
15	six
15	sorry
14	finger
14	while
14	cough
14	cheerio
14	because
14	true
14	sweet
14	walking
14	sing
14	hump
13	says
13	brown
13	ray
13	full
13	clown
13	cow
13	wrong
13	end
13	yellow
13	broom
13	ty
13	breakfast
13	dry
13	hard
13	sure
13	hat
13	fit
12	where'd
12	rough
12	handsome
12	s
12	slam
12	rain
12	through
12	bag
12	soft
12	bib
12	might
12	finish
12	stuck
12	black
12	dinner
12	oops
12	happy
12	bump
12	chin
12	hung
12	room
11	being
11	ears
11	balance
11	vegetables
11	found
11	toys
11	doggie
11	kangaroo
11	slow
11	i've
11	outside
11	leg
11	ear
11	saying
11	tickle
11	chris
11	mop
11	old
11	aren't
11	left
11	nice
11	byebye
11	made
11	tip
11	piece
11	ring
10	as
10	golf
10	fussing
10	dumpty
10	toe
10	ouch
10	leave
10	mommy's
