Freq	Type
1155	you
656	a
626	oh
616	the
438	yeah
427	and
424	go
372	okay
372	your
359	what
321	that
313	mommy
310	here
310	it
298	are
291	to
284	morgan
277	get
272	no
262	i
250	baby
250	see
243	say
241	is
232	this
231	that's
218	there
217	little
215	up
212	we
208	don't
206	let's
198	all
198	can
195	gonna
182	more
177	in
170	not
169	just
168	look
158	morgie
157	water
154	hi
146	for
143	down
143	do
139	mommy's
139	one
138	now
135	too
128	uhoh
127	sweetie
123	wanna
121	want
117	on
116	it's
114	kitty
114	put
110	mandy
107	good
106	right
105	have
104	some
101	big
98	back
97	be
96	where
93	ball
92	got
92	play
90	way
86	come
86	pretty
85	out
79	boom
79	book
79	yes
77	yummy
75	so
73	there's
72	knee
70	me
70	ma
68	what's
68	bite
67	doing
67	gotta
66	like
66	take
65	teddy
65	my
63	diaper
61	off
60	huh
59	brisco
59	he
59	those
57	her
56	cat
55	daddy
54	shirt
53	with
52	peekaboo
52	outside
52	wow
52	doggie
52	read
51	well
51	jeez
51	icy
50	them
50	byebye
50	we'll
50	milk
48	girl
48	but
48	very
48	time
48	hands
47	tasty
46	turn
46	of
45	eat
45	ready
45	shoes
45	can't
45	where's
45	head
44	cookie
44	hey
43	how
43	yay
43	still
42	bear
42	feet
41	yellow
41	other
40	downstairs
40	at
40	they
40	basketball
39	silly
39	bath
39	bout
37	doesn't
37	hand
37	by
37	nice
37	t
36	i'm
36	cow
36	nose
35	dada
35	flower
35	around
35	hold
35	clean
35	will
34	sock
34	applesauce
34	blue
33	piggy
33	these
33	upstairs
33	door
33	fun
33	pooh
32	snap
32	drink
32	foot
32	did
31	bay
31	getting
31	try
31	tree
31	sammy
31	please
31	oops
30	why
30	find
29	think
29	gone
29	day
29	she
28	key
28	really
28	people
28	home
27	kiss
27	mouth
27	hello
27	toes
27	hair
27	whoa
26	side
26	scoop
26	ernie
26	mandy's
26	dog
25	thing
25	mickey
25	page
25	pears
25	him
25	bus
25	car
25	goes
24	socks
24	three
24	pull
24	bees
24	he's
24	walk
24	pee
24	circle
24	ya
23	wash
23	if
23	here's
22	our
22	whole
22	peaches
22	or
22	daddy's
22	pants
22	juice
21	better
21	sit
21	eating
21	end
21	his
21	won't
21	give
20	square
20	balooga
20	ear
20	whoops
20	purr
20	need
20	microphone
20	night
20	d
20	banana
20	cup
20	cuddly
20	flowers
20	bird
20	food
20	gentle
19	house
19	who
19	toys
19	tired
19	done
19	face
19	lee
19	dear
19	town
18	apples
18	doll
18	game
18	maybe
18	balloon
18	then
18	shut
18	funny
18	minute
18	stairs
18	shoe
18	basket
18	apple
18	does
18	was
18	chair
17	leg
17	dollie
17	story
17	honey
17	green
17	light
17	squash
17	bubbles
17	five
17	spoon
17	didn't
17	goldfish
16	has
16	six
16	thirsty
16	went
16	she's
16	tigger
16	box
16	l
16	bed
16	i'll
16	bucket
16	star
16	much
16	any
16	elmo
15	sleep
15	points
15	balls
15	later
15	hat
15	pink
15	only
15	clothes
15	clap
15	said
14	chicken
14	keep
14	let
14	triangle
14	lookee
14	says
14	daisy
14	hayley
13	hot
13	looking
13	most
13	sing
13	wet
13	dokey
13	peas
13	floor
13	horsie
13	bit
13	coming
13	something
13	max
13	room
13	cold
12	were
12	pop
12	gate
12	cheery
12	make
12	smell
12	toy
12	left
12	while
12	noise
12	sorry
12	fingers
12	because
12	when
12	bib
12	mirror
12	stuff
12	dirty
12	bad
12	exciting
12	lemme
11	teeth
11	though
11	help
11	lay
11	horsies
11	wrong
11	bag
11	arm
11	sitting
11	moon
11	talking
11	row
11	hurt
11	low
11	drawer
11	dishes
11	trying
11	miranda
11	number
11	had
11	white
11	hug
11	should
10	putting
10	snack
10	hungry
10	moo
10	us
10	song
10	pick
10	stand
10	bump
10	yet
10	throw
10	breakfast
10	soup
10	bumpity
10	hard
10	pie
10	lolly
10	fire
10	bumpy
10	catch
9	either
9	sir
9	found
9	stroller
9	laundry
9	dry
9	crawl
9	pool
9	first
9	card
9	pajamas
9	who's
9	aren't
9	books
9	feel
9	new
9	dressed
8	winnie
8	dye
8	poopie
8	stay
8	watch
8	making
8	bring
8	soft
8	chewing
8	love
8	cream
8	would
8	next
8	finger
8	dinner
8	neigh
8	mother
8	cute
8	fussy
8	tower
8	tub
8	road
8	under
8	comes
8	thumb
8	fuzzy
8	recording
8	stuck
8	far
8	eyes
8	bottom
8	fall
7	move
7	touch
7	reindeer
7	nap
7	rice
7	after
7	wait
7	from
7	coat
7	could
7	as
7	fit
7	dancing
7	sweater
7	eight
7	wants
7	block
7	yourself
7	self
7	balmex
7	cookies
7	been
7	duckie
7	bowl
7	friends
7	bottle
7	babe
7	forgot
7	picture
7	pookie
7	cows
6	giving
6	spud
6	loons
6	fruit
6	belly
6	double
6	coaster
6	towel
6	glasses
6	neck
6	train
6	ew
6	reach
6	umbrella
6	wipes
6	beans
6	toe
6	grass
6	carry
6	choochoo
6	guess
6	round
6	couple
6	duck
6	sound
6	quit
6	tickle
6	long
6	phone
6	than
6	standing
6	snaps
6	monkeys
6	bridge
6	check
5	lunch
5	everything
5	which
5	tongue
5	care
5	quite
5	temperature
5	gum
5	pottie
5	step
5	farmer
5	leaves
5	raccoon
5	wooly
5	blocks
5	paper
5	happy
5	carrots
5	fish
5	lid
5	mom
5	warm
5	cross
5	leave
5	piglet
5	m
5	push
5	close
5	favor
5	stinky
5	isn't
5	monster
5	fast
5	sweatshirt
5	noodles
5	rock
5	truck
5	sun
4	ahhah
4	sweet
4	lunchtime
4	drinking
4	bounce
4	squashie
4	fur
4	doughnut
4	somebody
4	store
4	may
4	bushes
4	cloth
4	ty
4	drops
4	bread
4	aw
4	sheep
4	lap
4	bouncie
4	actually
4	slowly
4	both
4	owl
4	drop
4	squeaky
4	kinda
4	dance
4	bedtime
4	barking
4	tummy
4	fine
4	stir
4	growing
4	doctor
4	singing
4	careful
4	oranges
4	spider
4	never
4	sweetheart
4	follow
4	jump
4	da
4	feeling
4	change
4	mothers
4	swimming
4	grover
4	rubber
4	jacket
4	patty
4	oop
4	gee
4	taste
4	driver
4	blankie
4	tell
4	having
4	corner
4	mkay
4	couch
4	holding
3	sneeze
3	giraffe
3	mow
3	pot
3	summer
3	egg
3	drum
3	drying
3	place
3	trees
3	soap
3	things
3	own
3	puppy
3	cry
3	tape
3	heavy
3	slippers
3	slow
3	nine
3	bert
3	chin
3	oats
3	grow
3	banging
3	sleeper
3	thirty
3	triangles
3	man
3	list
3	rain
3	wanted
3	sour
3	shapes
3	october
3	sharon
3	working
3	squashies
3	ground
3	sigh
3	cups
3	snapped
3	crunchy
3	pepsi
3	grandma
3	wasn't
3	hill
3	sleeping
3	eatsa
3	goal
3	seek
3	must
3	nope
3	closet
3	puppet
3	top
3	clock
3	bark
3	window
3	everybody
3	free
3	breathe
3	rinse
3	drumming
3	where'd
3	cutie
3	nightie
3	blowing
3	streetlight
3	flying
3	thick
3	climbing
3	checkbook
3	clapping
3	falling
3	thumbs
3	keys
3	loud
3	spout
3	cake
2	shining
2	lying
2	wipers
2	gosh
2	napkins
2	few
2	precious
2	bet
2	salsa
2	jake
2	crash
2	brush
2	susie
2	v
2	boy
2	calling
2	sure
2	sam
2	weird
2	airplane
2	computer
2	boat
2	weensie
2	raspberry
2	bags
2	music
2	flouncy
2	mean
2	broth
2	seats
2	cheese
2	lambs
2	monkey
2	pumpkin
2	nail
2	wall
2	ice
2	blanket
2	dropped
2	raisins
2	seven
2	jack
2	leaf
2	doors
2	giraffes
2	climb
2	tissue
2	market
2	stars
2	changed
2	squirrel
2	eensie
2	lovie
2	boring
2	pay
2	voice
2	blow
2	you've
2	cards
2	bang
2	pointing
2	seal
2	strange
2	yonder
2	work
2	slinky
2	newspaper
2	closed
2	smile
2	seat
2	slipper
2	shape
2	washed
2	cool
2	bony
2	needs
