Freq	Type
2369	you
1400	the
1235	your
1186	a
1080	oh
1002	it
942	and
899	yeah
815	say
803	here
760	to
754	no
714	we
710	that
699	what
694	in
690	i
689	get
649	that's
642	huh
633	go
630	put
575	see
537	okay
529	there
521	up
514	gonna
506	wanna
497	one
452	on
452	mommy
445	do
444	this
429	it's
428	some
423	are
421	me
370	let's
366	want
365	look
343	have
341	out
340	ma
324	is
316	don't
313	down
312	too
309	can
309	there's
283	whoa
280	now
274	all
272	uhoh
255	got
245	with
239	play
238	hi
232	for
230	them
218	back
207	book
207	good
206	did
203	just
199	where's
193	not
190	well
189	ready
186	like
184	k
183	eat
180	oops
173	think
173	yes
171	baby
171	more
166	come
162	right
162	take
158	i'm
158	so
158	here's
157	where
152	sit
144	juice
143	little
142	over
139	then
138	lemme
135	ball
135	big
132	alex
131	mommy's
130	open
128	he
127	doggie
127	we'll
126	they
124	those
117	of
117	water
115	boy
114	off
114	but
113	me's
113	nose
112	what's
109	at
108	need
107	tim
107	read
103	again
102	peekaboo
102	three
101	tabitha
99	her
98	turn
98	can't
98	if
98	bear
97	hold
96	timmy
93	alright
92	side
91	cheese
90	try
89	why
89	hello
88	i'll
88	does
86	hey
85	yummy
83	dakota
82	would
80	cookie
80	be
80	uhhuh
80	together
79	other
79	gotta
79	please
77	him
77	push
76	has
75	away
75	my
74	his
73	these
73	dirty
73	byebye
73	pretty
71	march
70	getting
69	around
69	mom
69	better
68	going
68	let
67	very
67	allen
66	walk
66	how
65	will
65	says
64	stop
64	spoon
64	she
64	or
63	moo
63	sweetie
63	nice
62	mkay
62	banana
61	shoes
61	stairs
60	goes
60	whoops
59	throw
58	clean
57	horsie
57	doing
56	head
56	dog
56	outside
56	five
56	ya
55	elmo
55	move
55	done
54	box
54	oopsie
53	blocks
52	mister
52	else
51	wash
51	duck
50	hands
50	was
50	help
50	stuff
50	something
49	shoe
49	first
49	make
49	chair
49	kinda
48	hand
48	chew
48	about
48	could
48	maybe
47	number
47	six
47	who
47	zipper
47	man
46	he's
46	puppy
46	drink
46	knee
45	way
45	really
45	diaper
44	still
44	because
44	wow
43	boom
43	car
43	thing
42	find
42	jump
42	when
42	clifford
42	hurt
42	pull
42	close
42	stand
41	green
41	sorry
41	mouth
41	through
41	doesn't
40	though
40	house
40	cold
40	face
40	finger
40	bib
40	kisses
40	cup
40	foot
40	pattycake
40	today
39	noise
39	food
39	yuck
39	books
39	fingers
39	goodness
38	daddy's
38	yay
38	wait
38	bird
38	keys
38	toys
38	didn't
38	said
38	fall
38	hot
37	careful
37	bowl
37	upstairs
37	belly
37	mail
37	piggy
36	bottle
36	daddy
36	heavy
35	our
35	by
35	later
35	telephone
35	blow
35	seven
35	bunny
35	were
35	room
34	downstairs
34	ew
34	time
34	bus
34	pooh
34	hair
34	wrong
34	baa
34	honey
34	phone
34	new
33	much
33	she's
33	babies
33	lunch
32	elephant
32	blue
32	cereal
32	timothy
32	door
32	mama
32	window
32	gimme
31	cow
31	cheerios
31	old
31	give
31	under
31	people
31	diapie
31	yellow
31	keep
31	milk
31	funny
30	day
30	rabbit
30	watch
29	silly
29	circle
29	trees
29	things
29	from
29	lay
29	kiss
29	might
29	feel
28	wipe
28	girl
28	feet
28	balloon
28	putting
28	bike
28	had
28	lady
28	hat
28	mess
28	ring
28	bit
28	apart
27	stay
27	looking
27	music
27	rattle
27	nine
27	carrots
26	who's
26	timmy's
26	ride
26	byebyes
26	doggies
26	block
26	piece
25	tail
25	ten
25	use
25	uhuh
25	piggies
25	picture
25	yucky
25	money
25	light
25	gone
25	playing
25	work
25	any
25	legs
24	body
24	mouse
24	guess
24	finish
24	stuck
24	coming
24	icy
24	change
24	yep
24	socks
23	whole
23	job
23	button
23	roll
23	bed
23	buckle
23	tongue
23	holdup
23	wet
23	stick
23	barn
22	yourself
22	froggie
22	hard
22	bag
22	tractor
22	god
22	looks
22	you'll
22	bread
22	shake
22	barking
22	square
22	should
22	dad
21	orange
21	basket
21	sure
21	snap
21	eight
21	rolling
21	making
21	bite
21	eating
21	microphone
21	snack
21	long
20	took
20	brush
20	flowers
20	santa
20	catch
20	tootsies
20	monster
20	bears
20	nope
20	top
20	happened
20	paper
20	joseph
20	clothes
20	made
20	animals
20	woof
19	almost
19	pieces
19	smell
19	clock
19	talk
19	bout
19	everything
19	fence
19	nothing
19	toy
19	cards
19	computer
19	zip
19	airplane
19	cookies
18	shoulders
18	sing
18	fish
18	cart
18	hungry
18	nana
18	pumpkins
18	anyway
18	found
18	needs
18	while
18	fit
18	chickie
18	umbrella
17	cute
17	bambi
17	balloons
17	great
17	anything
17	dry
17	went
17	tape
17	oatmeal
17	as
17	frog
17	choochoo
17	probably
17	flower
17	breakfast
17	bring
17	shirt
17	stinky
17	trying
17	after
17	macaroni
17	yet
16	nummy
16	fishie
16	birdie
16	taking
16	fun
16	yuckies
16	tickle
16	leg
16	most
16	quack
16	stir
16	sheep
16	happy
16	eyes
16	fell
16	trash
16	hit
16	truck
15	pumpkin
15	egg
15	tree
15	many
15	blanket
15	dada
15	left
15	monkey
15	end
15	check
15	own
15	bet
15	drive
15	sitting
15	everywhere
15	sweetheart
15	cat
15	puzzle
15	called
15	bert
15	remember
15	bang
15	shall
15	changed
15	into
15	watermelon
15	sleepy
15	neigh
14	sweet
14	whoopsie
14	beads
14	t
14	adam
14	toes
14	lee
14	duckie
14	blankie
14	sticky
14	we've
14	thought
14	soap
14	fast
14	soon
14	slide
14	refrigerator
14	dropped
14	arm
14	fur
14	buddy
14	turtle
14	tub
14	coat
14	beep
13	saw
13	touch
13	fix
13	won't
13	clap
13	grandma
13	ty
13	bubbles
13	black
13	bat
13	which
13	tray
13	wanted
13	washcloth
13	climb
13	minute
13	tired
13	ears
12	song
12	bath
12	glasses
12	dance
12	backwards
12	sunny
12	crayons
12	break
12	wants
12	inside
12	twist
12	tabitha's
12	makes
12	name
12	triangle
12	quite
12	fine
12	sound
12	being
12	rings
12	never
12	candle
12	zoom
12	bad
12	pussycat
12	full
12	leaf
11	taste
11	ernie
11	warm
11	cool
11	wheels
11	letter
11	birds
11	yesterday
11	lotion
11	drawer
11	comes
11	only
11	jacket
11	knees
11	spaghetti
11	aladin
11	lion
11	dressed
11	step
11	roo
11	part
11	scratchy
11	used
11	birthday
11	pack
11	likes
11	teethies
11	mean
