Freq	Type
6927	you
2286	oh
2040	a
1901	are
1847	the
1683	i
1607	to
1515	no
1456	it
1418	here
1405	that
1374	go
1262	and
1262	what
1241	we
1084	on
1083	at
1012	your
981	there
976	see
947	is
919	yeah
915	in
913	don't
908	this
903	me
850	that's
838	do
816	look
809	can
797	get
759	gonna
731	come
710	l
709	up
700	little
660	one
649	have
648	let's
631	k
624	for
606	put
596	say
595	not
595	ma
590	all
555	like
533	be
528	it's
522	good
522	ew
521	want
519	girl
511	baby
503	with
474	my
458	just
455	of
453	where
449	i'm
432	more
427	maggie
425	right
424	down
412	now
403	so
389	wanna
388	hi
382	got
370	man
350	some
338	out
336	sweetie
333	too
327	did
312	yes
308	xavier
304	play
297	morgan
283	d
273	what's
273	but
255	doing
245	take
244	stop
237	going
233	hey
229	huh
228	they
227	where's
226	he
223	how
222	them
220	mommy's
218	pee
218	can't
215	okay
209	kitty
209	over
208	knee
208	back
206	she
205	ready
204	gee
203	big
203	well
197	water
195	by
195	day
194	why
190	dye
188	read
186	need
186	stuff
185	about
179	gotta
177	eat
172	there's
168	lee
166	sit
162	pooh
159	time
159	book
158	boom
155	night
147	cat
143	here's
136	sweet
136	way
136	let
135	we'll
134	daddy
133	nice
131	pretty
130	hands
129	again
129	head
128	these
127	then
127	think
126	her
124	nose
124	was
123	will
122	when
121	stand
120	turn
118	love
117	still
114	oops
114	because
113	lemme
111	getting
111	thank
110	tickle
110	try
107	give
107	peekaboo
107	cake
107	something
106	clean
105	mommy
105	clap
101	hello
100	make
98	who
97	or
97	patty
97	very
97	wash
96	trying
96	feet
95	off
94	purr
93	bite
93	bottle
91	moo
90	yellow
89	wait
89	around
89	hand
89	hold
88	i'll
88	yum
87	lay
86	throw
86	m
85	three
85	sing
85	outside
84	yummy
83	does
82	said
82	those
81	open
78	t
77	whoops
77	leave
77	really
76	from
76	should
75	has
74	nana
74	wow
73	keep
73	blue
73	sorry
72	didn't
72	could
70	double
70	minute
69	shoes
69	under
69	drink
