Freq	Type
5980	you
2283	oh
1734	are
1680	no
1396	it
1338	in
1239	here
1230	go
1201	do
1192	and
1136	i
1112	come
1107	me
1045	all
1000	on
999	we
956	is
955	yeah
948	air
935	k
927	see
898	to
803	dough
745	up
743	this
708	your
687	huh
679	good
667	the
647	rye
631	it's
581	my
563	for
560	ease
523	have
521	that
502	what
474	ty
464	like
435	did
432	ma
415	look
394	yes
390	nah
389	l
382	of
379	i'm
378	now
370	ann
368	or
367	with
358	m
357	hey
339	boy
331	lay
326	how
325	uhoh
321	he
320	at
310	ink
306	d
297	way
293	can
275	off
273	mom
270	be
268	baby
266	say
265	try
264	more
263	one
261	there
255	ew
253	over
252	so
250	by
248	take
233	gonna
232	okay
230	some
220	they
218	ray
209	why
208	there's
206	old
204	t
201	own
199	we'll
190	mama
190	back
187	were
187	if
184	a
183	want
182	it'll
178	was
170	hi
164	let
164	get
157	wanna
157	stop
156	where
156	pee
156	done
154	too
154	lee
154	play
153	them
146	use
146	tell
145	hand
139	ago
139	need
138	can't
134	moo
134	“i'll
133	watch
133	well
131	not
129	oop
128	time
128	row
127	teeth
126	moosh
123	da
122	low
121	make
121	wash
121	eat
120	very
120	here's
116	cup
115	nose
115	i'd
115	him
113	does
108	ubb's
107	love
106	read
105	thing
105	his
104	yeh
104	lie
102	cat
101	book
99	mouth
97	self
95	out
95	stir
94	away
90	yay
88	little
88	down
86	s
82	age
82	meow
81	better
80	purr
79	ring
76	still
75	got
73	other
72	knee
70	leap
70	push
70	ball
69	leave
69	toy
68	bear
67	big
66	itch
65	ear
65	you'd
64	kit
64	day
63	cake
62	you've
62	hang
61	i'll
61	under
59	her
58	rays
58	goes
58	leg
58	fur
58	saw
58	ouch
57	stuff
57	itty
57	who
56	fall
56	egg
55	hit
53	really
53	me's
53	nope
53	man
52	then
52	moomoo
51	sit
51	right
50	had
49	hair
49	he's
48	you'll
46	roll
46	op
44	should
43	kitty
43	side
42	much
42	will
40	arm
40	help
40	toe
40	bit
40	tree
39	has
39	close
39	wow
39	andy
38	less
38	aim
38	room
37	onie
37	fish
37	sill
36	tick
36	may
36	knock
36	end
35	rest
35	tall
34	eating
34	any
34	real
33	peep
33	guess
33	touch
33	yum
33	rough
32	tin
32	beak
31	dove
31	wreath
31	head
31	dog
30	nice
30	straw
30	looks
29	bake
29	rush
29	hands
28	run
28	brush
27	toes
27	tray
27	dear
27	weak
27	ever
27	hop
26	wipe
26	five
26	aunt
26	lunch
26	joy
26	when
26	please
26	sleep
25	chicken
25	us
25	our
25	ah
25	emmy
24	move
24	said
24	dump
24	today
24	sing
24	daddy
24	reach
23	brook
23	nap
23	long
23	n
22	name
22	key
22	lime
22	cow
22	mine
22	icy
22	catch
21	dish
21	bean
21	eyes
21	tough
21	from
21	else
20	wrong
20	booboo
20	mall
20	would
20	inch
19	tooth
19	mean
19	ears
19	wave
19	yellow
19	round
19	sir
18	cough
18	cover
18	chair
18	eight
18	throw
18	than
17	while
17	dude
17	boo
17	eve
17	icky
17	tweet
17	where's
17	chip
17	laugh
17	ride
17	babe
16	yet
16	talk
16	fun
16	leaf
16	likes
16	trees
16	we've
16	stay
16	sitting
16	eats
16	give
15	which
15	hitting
15	but
15	warm
15	jump
15	cheery
15	top
15	hot
15	running
15	nana
15	ways
15	climb
14	lit
14	each
14	been
14	stick
14	mike
14	tub
