Freq	Type
6270	you
1961	it
1564	are
1559	oh
1550	go
1445	the
1444	what
1393	me
1280	that
1251	and
1199	on
1139	come
1131	do
1127	up
1116	to
1099	your
1082	is
1037	we
1028	get
995	no
877	in
861	huh
859	yeah
839	okay
822	where
820	i
791	all
788	see
777	put
775	ma
753	gonna
752	there
687	here
647	for
629	good
624	say
620	can
575	out
564	wanna
522	this
516	want
509	don't
496	that's
485	it's
479	be
476	moo
472	look
464	a
459	or
447	let's
437	at
431	m
424	right
420	pee
417	with
414	down
409	i'm
392	he
380	like
379	s
373	uhoh
368	lee
364	play
355	i'd
340	what's
334	ease
325	boy
323	way
322	some
315	l
311	my
306	mama
298	them
295	more
288	eat
284	got
280	baby
273	not
253	ew
240	how
239	air
232	op
214	off
210	own
209	one
208	can't
208	so
206	of
203	now
199	there's
199	they
197	he's
197	back
192	let
189	me's
188	we'll
186	chew
184	little
183	read
181	around
181	have
179	rye
176	ball
173	known
172	boo
169	i'll
165	did
163	over
159	big
157	hand
156	it'll
154	icy
152	kit
145	pig
142	why
138	who
138	phone
138	ice
133	hey
128	other
121	very
121	but
119	cheese
118	mom
117	oops
117	well
117	thing
108	k
106	where's
105	sweet
105	lemme
103	ann
103	old
102	then
100	done
100	book
99	shoe
99	chair
97	yeh
97	ah
96	use
95	him
95	gimme
94	d
93	wheat
92	she
92	roll
89	hair
88	bear
85	ring
84	getting
84	his
83	oopsie
81	help
81	push
81	find
80	n
79	throw
78	foot
78	when
78	make
77	feet
76	cup
76	clean
72	purr
72	yum
70	bird
70	uhhuh
69	bell
69	hit
69	turn
69	da
69	should
68	aim
67	hell
65	jacob
64	few
63	whole
63	mama's
61	egg
59	fun
58	low
58	three
57	moomoo
57	by
56	wet
56	bet
56	need
56	stir
55	bit
55	first
54	feel
53	ale
52	ho
52	will
52	walk
52	any
52	here's
52	pat
52	you'd
50	york
50	fall
50	face
49	shake
48	view
48	our
48	bah
48	ride
48	hi
47	v
47	ear
47	maybe
47	open
46	you'll
46	cheery
46	end
46	bite
46	eight
45	shirt
45	arm
44	drink
43	piece
43	lay
42	clap
42	might
42	ouch
41	cake
41	run
40	pick
40	knock
39	hold
39	still
39	hat
38	nah
37	wash
37	hang
37	room
37	add
37	beak
36	head
36	pull
36	wind
36	emmy
35	sit
35	mine
35	fur
35	bean
35	yes
35	fuzz
34	bake
34	eyes
34	oink
34	full
34	ink
33	love
33	fit
33	hot
32	less
32	joy
31	was
31	may
31	too
31	eating
31	belly
31	jeez
31	pit
31	pup
30	those
30	cut
30	pay
30	juice
29	bike
29	bring
29	mean
28	pin
28	rolling
28	t
28	yummy
28	late
28	putting
28	water
27	wipe
27	lean
27	ty
27	came
27	ready
26	nose
26	pants
26	lit
26	time
26	try
26	her
26	mice
25	goes
25	cat
25	else
25	silly
25	does
24	ha
24	meat
24	mike
23	toe
23	wait
23	likes
23	fine
23	zip
22	stay
22	rain
22	better
22	food
22	guess
22	close
22	pump
21	dude
21	fly
21	wants
21	looks
21	duck
21	lamb
21	jay
20	ouchie
20	wrong
20	box
20	shut
19	bat
19	bum
19	shine
19	“i'll
19	had
19	fell
19	booty
19	knees
19	sing
19	wanted
19	rose
19	bang
19	beat
19	been
19	dry
19	stick
19	boot
19	ants
18	gee
18	tweet
18	nope
18	watch
18	she's
18	while
18	rest
18	nice
18	farm
17	aunt
17	dum
17	us
17	joe
17	knee
17	icky
17	hours
17	ain't
16	hands
16	were
16	ham
16	ding
16	oop
16	oven
15	hard
15	pop
15	real
15	ever
15	puppy
15	booboo
15	hope
15	yet
14	sell
14	gets
14	warm
14	part
14	goal
14	where'd
14	wide
14	aid
14	babe
14	yuck
14	bunny
14	“i'm
14	fish
13	who's
13	bone
13	peter
13	fits
13	take
13	bead
13	climb
13	sitting
13	ways
13	keys
13	rays
13	key
12	deep
12	fold
12	peas
12	weak
12	lou
12	under
12	yellow
12	light
12	thought
12	laura
12	fin
12	tim
12	night
12	faye
12	pooh
11	day
11	dirt
11	care
11	far
11	green
11	rice
11	white
11	quite
11	king
11	kick
11	lack
11	mootie
11	tell
11	dong
11	daddy
11	hurt
10	pack
10	kinda
10	pan
10	straw
10	thirst
10	kitty
10	jar
10	lie
10	lots
10	lied
9	you've
9	mind
9	moosh
9	later
9	chime
9	sewn
9	bounce
9	idea
9	biting
9	gentle
9	ask
9	kid
9	flow
8	shall
8	fat
8	though
8	rocks
8	hoot
8	place
8	owl
8	as
8	chance
8	daddy's
8	cook
8	puts
8	boys
8	writing
8	meal
8	bing
8	man
8	press
8	share
8	base
8	dried
8	cry
8	stuff
8	things
8	hitting
8	gold
7	feed
7	chin
7	wall
7	row
7	cool
7	aren't
7	lunch
7	apple
7	button
7	heart
7	bo
7	sees
7	heat
7	third
7	work
7	sun
7	house
7	dump
7	wore
7	kiss
7	seen
7	arise
7	rinse
7	gots
7	socks
7	until
7	job
7	fig
7	mouth
7	hide
7	earned
7	wing
7	bottle
7	rough
6	loves
6	am
6	bad
6	she'll
6	poopie
6	jump
6	untie
6	turtle
6	eats
6	pool
6	yell
6	we've
6	would
6	purse
6	backs
6	call
6	round
6	best
6	peep
6	pretty
6	pink
6	wake
6	many
6	these
6	once
6	dough
6	x
6	leap
6	sheets
6	shame
6	ought
6	seat
6	ark
6	dirty
6	mac
6	pie
6	pocket
6	early
6	uppie
5	poppy
5	poop
5	dig
5	bed
5	swing
5	patty
5	donald
5	shoes
5	paper
5	cold
5	catch
5	mess
5	sweat
5	sheep
5	visit
5	could
5	lined
5	bag
5	give
5	fuss
5	ray
5	piggy
5	honey
5	keep
5	step
5	makes
5	tin
5	eaten
5	chirp
5	ears
4	foots
4	backed
4	today
4	finger
4	pooie
4	bert
4	eggs
4	chinnie
4	boom
4	he'd
4	mile
4	books
4	funny
4	poopsie
4	made
4	raisin
4	girl
4	bray
4	men
4	talking
4	turned
4	zach
4	fair
4	home
4	easy
4	chick
4	ups
4	ernie
4	ago
4	leg
4	says
4	same
4	act
4	grits
4	fill
4	lights
4	guy
4	ya
4	again
4	nap
4	awful
4	twy
4	sure
4	seek
4	babies
4	seed
4	mall
4	he'll
3	added
3	away
3	bush
3	bop
3	change
3	long
3	soak
3	plate
3	yay
3	either
3	hits
3	birdie
3	kitten
3	dove
3	alpha
3	ben
3	inning
3	half
3	won't
3	writes
3	bath
3	beef
3	liked
3	feets
3	fake
3	hug
3	uhuh
3	noise
3	height
3	quick
3	rattle
3	diaper
3	jack
3	tutti
3	sid
3	page
3	found
3	move
3	mail
3	kate
3	ounce
3	milk
3	shopping
3	vin
3	thumb
3	shade
3	sits
3	dan
3	windows
3	lot
3	which
3	suck
3	pies
3	door
3	pen
3	car
3	john
3	itty
3	working
3	reach
3	comes
3	kids
3	calm
3	lettuce
3	seem
3	plane
3	grey
3	bar
3	grit
3	thirsty
3	nana's
2	shape
2	mix
2	tunnel
2	order
2	tool
2	window
2	hera
2	grape
2	none
2	chat
2	grease
2	fresh
2	cow
2	minute
2	shell
2	doubt
2	show
2	oatmeal
2	plays
2	curl
2	plug
2	treat
2	yep
2	works
2	wrap
2	beep
2	god
2	emmy's
2	wig
2	nail
2	sale
2	pacie
2	goat
2	set
2	sweetie
2	cakes
2	toy
2	poor
2	black
2	never
2	person
2	whoa
2	we'd
2	land
2	meanie
2	lime
2	yak
2	hog
2	sore
2	hate
2	arms
2	apron
2	al
2	num
2	miss
2	fountain
2	mitt
2	bees
2	game
2	trees
2	voice
2	top
2	climbs
2	butter
2	has
2	array
2	bug
2	caught
2	bill
2	ali
2	line
2	than
2	shoot
2	hoops
2	flip
2	looked
2	wild
2	corn
2	bay
2	bummie
2	drip
2	dog
2	jacket
2	walked
2	bib
2	sneak
2	shin
2	wreck
2	shoesies
2	shiny
2	onie
2	choke
2	feels
2	spit
2	chasing
2	gene
2	nana
2	ones
2	touch
2	radio
2	leaf
2	fight
2	treats
2	earth
2	ms
2	ram
2	rick
2	times
2	glass
2	bend
2	stew
2	luck
2	small
2	even
2	opened
2	heap
2	counts
2	frog
2	spin
2	bears
2	dance
2	chugga
2	cute
2	grab
2	called
2	blow
2	thin
2	liz
2	ran
2	hen
2	snow
2	lord
2	leave
2	cloth
2	duckie
2	they'd
1	tough
1	jig
1	cough
1	yucky
1	pigs
1	butts
1	next
1	gone
1	oughta
1	nosed
1	tight
1	walker
1	shovel
1	ashy
1	shy
1	jasmine
1	attic
1	flows
1	played
1	dad's
1	lure
1	cane
1	loving
1	ax
1	mom's
1	deal
1	rip
1	board
1	tick
1	cheek
1	fry
1	escape
1	reading
1	written
1	cleans
1	bikes
1	letting
1	elmo
1	loaf
1	kill
1	band
1	rings
1	aw
1	falls
1	grind
1	cookie
1	they'll
1	fuzzy
1	june
1	course
1	sill
1	bra
1	papa
1	sign
1	roller
1	winnie
1	bald
1	hoop
1	burn
1	through
1	raising
1	birds
1	longer
1	party
1	beg
1	eatsa
1	wuss
1	if
1	shock
1	bitty
1	chill
1	van's
1	blue
1	lynn
1	ugh
1	chase
1	breeze
1	shirts
1	hairie
1	yucks
1	bummie's
1	pile
1	iron
1	skill
1	bars
1	windy
1	itchy
1	sent
1	ugly
1	bums
1	spinach
1	into
1	outer
1	lock
1	scratch
1	tear
1	toot
1	lip
1	meadow
1	five
1	paying
1	pushed
1	bright
1	ubb's
1	breathe
1	hip
1	wakes
1	each
1	mood
1	wave
1	flys
1	eric
1	van
1	shove
1	fellow
1	soaking
1	mickey
1	cried
1	rocking
1	office
1	rolled
1	hurry
1	note
1	holy
1	further
1	whale
1	wiped
1	backie
1	greg
1	sort
1	sean
1	oopsa
1	quit
1	moment
1	soap
1	saw
1	taken
1	feetsies
1	battery
1	lake
1	dial
1	brick
1	doozy
1	after
1	brass
1	since
1	cups
1	screw
1	club
1	vaseline
1	keaton's
1	king's
1	pillow
1	opening
1	yummies
1	goose
1	sneaking
1	leaped
1	smell
1	kettle
1	built
1	fire
1	jerk
1	swell
1	awake
1	cooled
1	zipper
1	thingie
1	messing
1	settled
1	raining
1	turning
1	blind
1	rub
1	teeth
1	towel
1	free
1	others
1	send
1	jam
1	brings
1	prints
1	roast
1	spinning
1	hum
1	fork
1	knocked
1	tied
1	forty
1	terry
1	slow
1	worst
1	swear
1	chris
1	keeps
1	win
1	comb
1	jacks
1	sucking
1	winter
1	mighty
1	sheet
1	shop
1	freeze
1	cheekie
1	eyebrow
1	flag
1	thirty
1	sweep
1	asked
1	card
1	sink
1	slice
1	tree
1	damn
1	bus
1	wick
1	wool
1	pot
1	lays
