Freq	Type
7867	a
5019	oh
4528	ew
3669	ah
3337	i
2495	aw
1850	you
928	the
904	it
858	at
764	ann
739	or
690	on
623	to
597	air
559	in
537	no
505	we
496	are
482	yeah
453	go
438	ear
415	me
392	all
381	that
373	be
355	is
347	ma
343	k
340	l
335	see
302	t
290	eat
288	here
284	up
284	what
279	ease
274	own
272	okay
251	d
244	and
243	do
235	lee
232	dough
203	“i'll
202	out
200	say
195	rye
192	huh
184	i'm
178	s
169	n
168	this
167	lie
165	bay
165	hi
165	there
165	pee
164	knee
155	uhoh
154	let
154	i'd
151	he
150	of
148	my
144	m
143	now
142	look
140	yeh
138	your
138	low
132	too
129	nah
125	ice
125	way
124	come
121	one
117	mom
117	us
116	get
116	good
115	boo
113	it's
110	tell
109	so
109	hey
105	if
103	more
103	lay
100	can
98	key
96	where
95	got
92	for
89	by
88	they
88	add
86	da
86	i'll
85	boy
85	right
84	off
83	lit
82	yes
81	oop
79	why
77	eight
77	how
72	op
71	that's
70	man
70	use
69	“i'm
69	down
68	row
67	have
67	ty
67	gee
65	girl
65	put
65	did
63	purr
62	babe
62	ball
61	let's
60	day
60	you'd
59	she
59	who
58	whoa
58	like
57	ray
57	ink
57	not
57	some
57	may
55	sigh
55	boom
55	ho
55	ought
54	ha
54	ubb's
54	kit
53	were
53	mommy
52	read
51	roo
51	though
51	you'll
50	aim
50	itty
49	toe
49	oops
49	caw
47	there's
47	bow
47	thing
47	play
46	don't
45	aid
45	pooh
45	icy
45	baby
45	odd
45	wheat
44	moo
44	egg
44	saw
43	bah
43	dye
43	our
43	wow
42	her
42	as
42	it'll
42	la
42	gonna
42	take
41	eve
40	thee
39	but
39	pie
39	back
39	eddie
38	over
38	cow
37	away
37	cat
37	am
37	with
37	try
35	them
35	known
34	head
34	shoe
33	ya
33	want
31	sweet
31	well
31	yum
31	wanna
31	big
31	old
31	toy
30	aggie
30	whole
30	we'll
30	mag
30	three
29	sit
29	book
29	lou
29	mow
29	fur
28	when
28	eyes
27	weak
27	bo
27	aunt
27	sir
27	view
26	side
26	bear
26	kitty
26	hello
26	what's
24	top
24	just
24	dad
24	make
24	tar
23	other
23	me's
23	where's
23	al
23	ale
23	water
22	doing
22	feet
22	mama
22	turn
22	wait
22	daddy
22	each
22	yay
22	dog
22	tough
22	love
22	was
21	ouchie
21	i've
21	ago
21	time
21	he's
21	ears
21	does
20	whew
20	ugh
20	night
20	ready
19	phone
19	nose
19	him
19	wash
18	pay
18	maggie
18	hair
18	hot
18	roll
18	cake
18	faye
18	bite
18	gotta
18	leap
18	new
18	give
18	house
18	which
17	lap
17	need
17	these
17	walk
17	tin
17	fish
17	teeth
17	peek
17	age
17	juice
17	think
17	again
17	ouch
17	nice
17	neigh
16	here's
16	room
16	will
16	vas
16	arm
16	beef
16	soak
16	stop
16	bout
16	any
15	little
15	bird
15	pan
15	hand
15	pull
15	alright
15	we'd
14	those
14	tick
14	heart
14	bit
14	thank
14	paw
13	work
13	who's
13	move
13	stir
13	lean
13	sock
13	throw
13	isn't
13	show
13	mandy
13	tree
13	leave
13	says
13	cheese
13	blue
12	fine
12	cup
12	then
12	dear
12	ten
12	meow
12	tall
12	mean
12	x
12	lock
12	open
12	going
12	watch
12	bath
12	done
11	duck
11	shoes
11	mouth
11	nap
11	end
11	doggie
11	car
11	shirt
11	dillon
11	pear
11	else
11	food
11	whoops
11	rain
11	pot
11	door
11	ring
11	tan
11	can't
11	stuff
11	few
11	five
11	she's
10	dub
10	fun
10	clean
10	sick
10	yep
10	hat
10	peep
10	booboo
10	goal
10	around
10	pit
10	pick
10	f
10	through
10	kiss
10	hang
10	bet
10	today
10	bean
10	would
10	keep
10	pig
10	about
10	pat
10	very
10	sweetie
10	sing
10	itch
10	eats
9	dan
9	don
9	chew
9	talk
9	baa
9	gone
9	beak
9	sauce
9	tire
9	v
9	array
9	foot
9	andy
9	face
9	song
9	you've
9	mike
9	mkay
9	byebye
9	white
9	dada
9	should
9	chick
9	diaper
8	hell
8	tray
8	lemme
8	care
8	call
8	brook
8	fit
8	tears
8	ounce
8	same
8	ran
8	chair
8	uhuh
8	stairs
8	morgie
8	leg
8	mile
8	tear
8	hold
8	cook
8	guess
8	wide
8	piece
8	gimme
8	goes
8	sell
8	said
7	god
7	late
7	made
7	sill
7	fin
7	guy
7	yummy
7	might
7	adore
7	onie
7	self
7	apple
7	bed
7	teddy
7	dirt
7	goat
7	morgan
7	bag
7	nana
7	win
7	horse
7	yuck
7	home
7	doll
7	hurt
7	layed
7	bees
7	wet
7	under
7	his
7	shape
7	obey
7	cough
7	patty
7	ewie
7	sun
6	piggy
6	trees
6	mess
6	name
6	long
6	ask
6	such
6	hit
6	cookie
6	hands
6	silly
6	bake
6	catch
6	could
6	yet
6	earth
6	lip
6	deep
6	lid
6	fall
6	better
6	green
6	cold
6	dove
6	job
6	bam
6	act
6	really
6	came
6	lime
6	peekaboo
6	bunny
6	yam
6	run
6	comes
6	because
6	ants
6	grass
6	tore
6	milk
6	bum
6	had
6	load
6	gray
6	spoon
6	whoop
6	neck
6	miss
6	sheep
6	wrong
6	pow
5	please
5	wreck
5	likes
5	snot
5	peg
5	okey
5	flower
5	dish
5	days
5	bus
5	most
5	whack
5	jeez
5	jay
5	from
5	socks
5	outside
5	sleepy
5	real
5	bill
5	been
5	stay
5	wing
5	pose
5	lookee
5	close
5	game
5	pour
5	push
5	root
5	oink
5	zoo
5	rake
5	much
5	fell
5	seal
5	ax
5	nine
5	peas
5	stick
5	king
5	bone
5	sees
5	pup
5	rush
5	has
5	hide
5	while
5	shut
5	find
5	bar
5	blah
5	people
5	still
5	matt
5	chin
5	poop
5	jump
5	yell
5	icky
5	feel
4	took
4	learn
4	hope
4	snow
4	oil
4	babies
4	mine
4	sleep
4	bead
4	page
4	leaf
4	bib
4	fuss
4	first
4	fat
4	meat
4	eyore
4	liz
4	calm
4	chicken
4	mice
4	dock
4	poopie
4	feed
4	word
4	dirty
4	taste
4	mall
4	lynn
4	box
4	hung
4	moomoo
4	pin
4	drink
4	bounce
4	soon
4	wrap
4	books
4	ms
4	tooth
4	part
4	trying
4	neat
4	clap
4	balls
4	left
4	coming
4	spy
4	shake
4	bell
4	sand
4	mac
4	nope
4	uppie
4	beat
4	far
4	snack
4	rock
4	dinner
4	beep
4	stair
4	whine
4	early
4	bad
4	minute
4	laying
4	owl
4	edge
4	yuli
4	wall
4	getting
4	he'll
4	ways
4	ernie
4	booboon
4	toes
4	cream
3	belly
3	slow
3	barb
3	seed
3	goose
3	chill
3	light
3	cross
3	tape
3	bat
3	went
3	teach
3	pottie
3	loose
3	lied
3	bob
3	less
3	rest
3	number
3	pack
3	snap
3	gate
3	beans
3	eater
3	note
3	looka
3	grow
3	coffee
3	easy
3	seem
3	rice
3	lunch
3	nor
3	last
3	ahead
3	brush
3	hayley
3	lamb
3	york
3	seat
3	otay
3	six
3	rid
3	spot
3	daisy
3	elmo
3	twy
3	sammy
3	ark
3	truck
3	brown
3	matter
3	quack
3	nail
3	reach
3	bang
3	kick
3	yellow
3	tuck
3	thaw
3	dry
3	bump
3	stand
3	knees
3	taken
3	that'll
3	how's
3	mother
3	sweep
3	tongue
3	looking
3	they'd
3	aren't
3	cut
3	puts
3	rip
3	cool
3	walking
3	chips
3	step
3	maybe
3	weeny
3	film
3	tastes
3	bowl
3	baba
3	near
3	sky
3	knack
3	rings
3	tickle
3	things
3	check
3	peepee
3	comb
3	ever
3	she'll
3	pillow
3	he'd
3	playing
3	uhhuh
3	crawl
3	clown
3	fast
3	baker's
3	rash
3	doesn't
3	won't
3	wham
3	chip
3	sorry
3	pears
3	kind
3	hard
3	stew
3	hours
3	plane
2	soft
2	store
2	dame
2	birth
2	something
2	crack
2	pina
2	black
2	hoot
2	ain't
2	basket
2	purse
2	sad
2	pookie
2	tower
2	doubt
2	drawer
2	summer
2	friend
2	bop
2	standing
2	poor
2	fig
2	tub
2	treat
2	moon
2	wire
2	plan
2	set
2	fuzzy
2	float
2	color
2	times
2	gold
2	brooklyn
2	dyeisha
2	moose
2	clothes
2	loads
2	raisin
2	happy
2	energy
2	keys
2	town
2	gets
2	yourself
2	idea
2	full
2	shall
2	choochoo
2	mickey
2	jesus
2	bike
2	liked
2	hug
2	rhyme
2	crunch
2	pattycake
2	climb
2	drum
2	wind
2	geese
2	bottle
2	messy
2	found
2	warm
2	died
2	jack
2	rays
2	played
2	ding
2	rocks
2	dum
2	nowhere
2	thick
2	save
2	once
2	lion
2	rat
2	seen
2	sam
2	we've
2	flow
2	spin
2	talked
2	num
2	attic
2	noodles
2	loud
2	dive
2	drew
2	kitchen
2	news
2	wants
2	pants
2	vasie
2	lack
2	abc
2	above
2	sealie
2	after
2	bushes
2	only
2	cracker
2	telly
2	bless
2	swing
2	small
2	lying
2	smile
2	supposed
2	shine
2	tired
2	point
2	shout
2	mop
2	free
2	favor
2	lane
2	touch
2	block
2	honey
2	coat
2	oven
2	bleach
2	needs
2	crash
2	pant
2	ali
2	leaves
2	niece
2	bra
2	sleeve
2	thumb
2	cute
2	order
2	hungry
2	orange
2	knock
2	boat
2	card
2	quit
2	shy
2	floor
2	peach
2	sure
2	rose
2	finger
2	donna
2	help
2	sat
2	used
2	being
2	meal
2	nas
2	squash
2	date
2	taz
2	goodness
2	wake
2	pool
2	gots
2	toys
2	acre
2	true
2	router
2	mommy's
2	everything
2	wipe
2	tinky
2	tac
