Freq	Type
10174	you
4819	the
4367	a
3922	oh
2766	it
2577	to
2495	that
2354	your
2336	are
2302	go
2259	i
2210	no
2186	me
2177	what
1855	here
1760	and
1733	do
1686	on
1640	be
1618	we
1572	see
1559	is
1558	k
1529	ma
1405	yeah
1366	in
1360	get
1351	there
1311	this
1311	come
1263	all
1139	up
1105	t
1068	more
1058	don't
1053	good
1049	can
1015	one
1011	that's
1005	d
996	for
929	huh
923	it's
887	look
869	bay
837	at
833	put
822	right
813	have
812	my
812	of
807	out
797	want
795	let's
763	not
734	got
714	down
707	lee
692	some
682	with
653	where
638	say
634	knee
611	like
591	too
584	pee
558	play
554	did
545	now
519	just
513	yes
513	he
507	back
484	i'm
476	ball
475	ty
472	so
468	what's
458	uhoh
455	hey
452	way
403	hi
402	there's
399	off
397	big
395	man
394	where's
374	they
372	them
371	take
365	moo
361	low
356	try
353	by
352	boy
343	can't
341	think
337	key
326	how
322	m
313	let
308	l
301	purr
300	was
296	we'll
289	eat
280	day
279	book
270	he's
262	thank
261	boom
260	side
258	boo
257	me's
254	girl
251	turn
251	him
250	bout
248	give
243	da
242	why
234	those
224	if
224	here's
222	well
222	bear
221	gee
219	but
215	done
214	sit
214	head
210	thing
207	need
203	hold
201	bite
197	who
194	hands
193	these
183	i'll
180	his
179	love
179	s
178	time
177	yay
173	stop
173	read
171	dye
170	night
167	nice
165	nose
162	hand
155	feet
154	phone
154	then
153	when
153	make
153	find
152	throw
150	tell
149	hair
149	sweet
148	stir
148	does
145	watch
145	stairs
144	her
144	bah”
144	drink
144	clean
143	three
142	may
141	teeth
141	didn't
139	mouth
138	fish
138	ya
137	still
137	will
136	pooh
133	wash
133	moomoo
132	has
131	help
131	wait
130	door
128	sir
125	she
123	new
123	foot
123	fur
123	goes
121	shoes
121	cup
120	yeh
119	rays
119	self
118	whoa
118	juice
116	would
116	heart
115	much
114	pull
111	chair
110	feel
108	were
108	kiss
107	milk
106	chew
105	lay
105	yep
105	page
104	care
103	or
103	moosh
103	had
102	most
102	green
102	doesn't
99	keep
99	please
99	blue
99	shirt
98	floor
97	food
97	face
95	yum
94	stand
94	should
93	cat
93	else
93	walk
92	comes
92	wow
91	clap
91	says
90	jay
90	gone
90	dog
89	move
89	through
88	as
88	room
87	from
87	stuff
86	push
85	isn't
85	who's
85	bird
85	cake
84	bath
83	hot
82	things
81	fun
81	hit
81	pick
80	house
80	toes
79	wet
79	fall
79	went
79	close
78	whole
78	toe
78	bit
78	pants
77	could
77	la
77	won't
76	sing
76	first
76	ah
76	brown
75	spoon
75	hat
74	cow
74	leg
74	toy
73	dough
73	tree
72	cold
72	car
71	while
71	peas
71	sock
70	sauce
69	long
69	hang
68	bed
67	said
67	bo
66	hung
66	home
66	which
65	wants
65	shoe
65	brush
64	aren't
63	aw
63	leave
62	snap
62	run
62	next
62	cheese
61	sun
61	bees
60	dear
60	mean
60	clothes
60	bring
59	show
59	roll
59	hard
59	ew
59	oops
58	sleep
58	though
