Freq	Type
3034	a
2787	you
1782	the
1743	your
1732	oh
1705	ew
1483	i
1235	it
1221	to
1110	and
1106	yeah
1027	okay
982	no
918	we
892	huh
870	in
776	at
737	go
721	up
719	are
702	here
701	say
694	on
657	see
641	get
576	all
557	put
502	some
496	there
491	out
477	let's
469	can
468	it's
463	have
461	for
461	what
460	air
456	do
438	gonna
435	that
431	want
428	uhoh
394	good
389	is
386	with
379	one
377	mom
373	my
355	look
354	of
353	that's
352	too
348	me
332	got
327	ear
316	down
306	yes
298	eat
296	or
292	like
286	did
283	don't
282	wanna
279	hey
275	play
265	right
263	dillon
262	mommy
254	take
247	off
241	ball
240	more
232	over
230	think
220	ty
218	now
217	i'm
214	hi
213	come
211	they
204	there's
201	back
200	so
199	not
199	ah
198	he
194	them
189	be
187	again
185	alright
182	book
171	stop
169	ready
168	we'll
167	little
167	just
165	tim
159	very
155	mama
155	boy
149	ma
147	away
146	hello
145	let
144	baby
144	need
139	juice
138	this
138	k
138	brooklyn
137	thing
136	if
136	nah
133	byebye
133	n
133	how
132	oops
128	try
128	really
127	kitty
125	hand
125	him
124	big
124	peekaboo
121	sweet
120	mouth
119	babe
119	ease
118	by
118	read
117	m
113	other
112	ann
112	moosh
112	then
110	yep
109	open
109	does
108	boom
108	sit
108	who
108	but
108	rye
107	mooshas
106	today
105	water
105	mkay
105	whoa
104	where's
103	push
103	where
102	tyrese
102	wash
102	way
101	make
101	lemme
100	his
97	mandy
97	jaylen
96	i'll
95	chair
94	bear
93	cheese
92	timmy
92	why
92	well
91	nose
91	moo
90	around
88	side
86	turn
86	was
86	drink
84	head
83	should
83	he's
82	doing
82	throw
81	going
81	dough
81	under
79	shoe
78	toy
78	run
77	about
77	mommy's
77	chicken
76	heart
75	uhhuh
75	hair
75	three
75	lean
74	has
74	l
74	together
74	give
73	teeth
72	old
72	time
72	room
71	clean
70	eight
70	man
70	ring
69	kit
69	something
68	feet
67	own
67	face
65	walk
65	hold
64	when
63	help
62	cup
61	foot
61	could
61	chew
61	lay
61	careful
61	her
60	done
60	love
60	were
60	spoon
59	stairs
59	car
59	here's
59	ears
59	still
58	through
58	had
58	uppie
58	shoes
57	move
57	maybe
56	oopsie
56	egg
56	lunch
56	ya
56	hot
56	playing
55	wipe
55	daddy
55	day
55	meow
55	diaper
55	find
55	mister
54	please
54	yourself
54	yummy
53	roll
53	bunny
53	pattycake
53	cow
53	moomooshas
52	duck
52	our
51	it'll
51	alexander
51	milk
51	door
50	ouch
50	because
50	much
50	belly
50	pig
50	says
49	bowl
49	new
48	she
48	nice
48	house
48	better
48	else
48	add
47	feel
46	box
46	first
46	arm
46	us
46	dog
46	though
46	would
46	baa
45	truck
45	cheerio
45	wet
45	as
44	cold
44	gotta
44	what's
44	eyes
44	long
43	while
43	top
43	leg
43	tell
43	those
42	dry
42	op
41	phone
41	tired
41	tongue
41	aw
41	yellow
40	didn't
40	hands
40	boneen
39	lie
39	yum
39	boo
39	ice
39	stuff
39	dada
39	bit
39	fall
38	“i'll
38	close
38	elmo
38	use
37	knee
37	mess
37	hungry
37	mooshaboosh
37	tick
37	watch
37	goes
37	hat
37	eating
37	bottle
37	coming
37	wow
37	uhuh
37	fit
36	girl
36	thee
36	cookie
36	fingers
36	lee
36	happy
35	cereal
35	itch
35	jacob
35	tray
35	peg
35	zip
35	enough
35	pants
34	won't
34	d
34	change
34	cat
34	whole
34	tickle
34	pee
33	piece
33	will
33	moomoo
33	even
33	any
33	“i'm
33	hurt
33	page
33	trying
33	next
33	end
33	yuck
33	later
33	wait
33	ever
33	nope
32	ink
32	eve
32	said
32	sure
32	dirty
32	work
32	fish
32	yay
32	mad
32	hit
32	shirt
31	green
31	t
31	finish
31	flower
31	rest
31	lou
31	fun
31	turnaround
31	everywhere
31	real
31	banana
30	check
30	paper
30	yet
30	can't
30	bring
30	doggie
30	from
30	toe
30	tough
30	finger
30	dinner
30	socks
29	mail
29	booboo
29	guess
29	part
29	outside
29	icy
29	most
28	basket
28	kiss
28	oop
28	sleep
28	looking
28	hard
28	gone
28	everything
28	mean
28	orange
28	bounce
28	you'll
27	gimme
27	talk
27	apart
27	bouncie
27	bus
27	fur
27	bite
27	memee
27	mine
27	rough
27	bath
27	came
27	cheerios
27	scratch
27	saw
27	booty
27	books
27	kisses
26	pooh
26	people
26	horsie
26	these
26	bike
26	noise
26	chips
26	turtle
26	comes
26	body
26	jump
26	squirrelie
26	ray
26	carrots
26	breakfast
26	bet
26	nap
26	cupcake
25	bed
25	sing
25	timothy
25	lap
25	upstairs
25	toes
25	byebyes
25	anything
25	buckle
25	clothes
24	honey
24	may
24	been
24	getting
24	low
24	s
24	before
24	cracker
24	bib
23	lot
23	supposed
23	crawl
23	taste
23	night
23	silly
23	five
23	into
23	squirrel
23	teddy
23	carrot
23	floor
23	noodles
22	slipper
22	went
22	sorry
22	stand
22	sleepy
22	yesterday
22	table
22	wrong
22	pull
22	left
22	trees
22	leave
22	keys
22	fell
22	tractor
22	touch
22	microphone
22	dear
22	roo
21	thought
21	shake
21	after
21	game
21	only
21	icky
21	rooster
21	kinda
21	talking
21	nana
21	oink
21	doesn't
21	macaroni
21	jay
21	rocks
21	cough
21	wave
21	telephone
21	yours
21	splash
20	until
20	mike
20	tail
20	comb
20	tar
20	pretty
20	trash
20	reach
20	lord
20	kick
20	climb
20	yucky
19	clap
19	triangle
19	music
19	shut
19	bat
19	sheep
19	took
19	seven
19	laying
19	few
19	clock
19	plant
19	lid
19	pamper
19	lettuce
19	elephant
18	dirt
18	beautiful
18	cool
18	glass
18	changed
18	care
18	tootsies
18	crazy
18	drum
18	row
18	pot
18	alone
18	rolling
17	aid
17	food
17	puppy
17	another
17	neigh
17	ought
17	balloon
17	sweetheart
17	lotion
17	kid
17	timmy's
17	sweep
17	joy
17	different
17	ten
17	must
17	full
17	fix
17	joseph
17	chip
17	needs
17	i'd
17	snap
17	tuck
16	choochoo
16	build
16	pumpkins
16	second
16	inside
16	poopie
16	piggies
16	i've
16	tonight
16	drop
16	tree
16	grass
16	handsome
16	barn
16	ways
16	lamb
16	light
16	hammer
16	than
16	cover
16	miss
15	black
15	closed
15	rain
15	shall
15	far
15	hope
15	stay
15	great
15	ride
15	yogurt
15	word
15	window
15	sock
15	purple
15	me's
15	lit
15	medicine
15	six
14	bird
14	dressed
14	nine
14	listen
14	bambi
14	booboon
14	potatos
14	vegetables
14	ain't
14	keep
14	tear
14	kitchen
14	airplane
14	pussycat
14	miranda
14	stinky
14	either
14	call
14	ran
14	heavy
14	cook
14	happen
14	sleeve
14	snot
14	yard
14	stuck
14	lime
14	name
14	such
13	nothing
13	picture
13	sweetie
13	thank
13	guy
13	tasty
13	apple
13	ubb's
13	you'd
13	sweater
13	whoopsie
13	blocks
13	clown
13	almost
13	owl
13	many
13	pajamas
13	bam
13	aren't
13	jack
13	horse
13	behind
13	being
13	shorts
13	wheat
13	rip
13	knock
13	fence
13	remember
13	coat
13	cart
13	early
12	weak
12	hug
12	fuzzy
12	goose
12	called
12	peanut
12	best
12	towel
12	bump
12	leaf
12	smart
12	pie
12	slam
12	umbrella
12	am
12	pillow
12	live
12	swing
12	vacuum
12	applesauce
12	snow
12	ugh
12	rush
12	lock
11	bread
11	rock
11	wheels
11	store
11	place
11	kangaroo
11	bad
11	quite
11	proper
11	spaghetti
11	cloth
11	show
11	cross
11	holdup
11	wall
11	oven
11	noodle
11	learn
11	arise
11	round
11	gentle
11	rabbit
11	stir
11	crying
11	rinse
11	working
11	wind
11	cry
10	guys
10	sun
10	glad
10	rattle
10	eats
10	zipper
10	sitting
10	brush
10	wants
10	looks
10	pocket
10	cord
10	mirror
10	strawberries
10	tub
10	flowers
10	monster
10	awful
10	suck
10	empty
10	peaches
10	wide
10	blanket
10	edge
10	brown
10	sees
10	figure
10	ali
10	soon
9	frog
9	puzzle
9	crooked
9	whoops
9	ouchie
9	pool
9	park
9	white
9	cheek
9	matter
9	donald
9	neck
9	dish
9	fast
9	same
9	bang
9	loud
9	peep
9	snack
9	rub
9	broke
9	ding
9	set
9	myself
9	start
9	mother
9	radio
9	suds
9	last
9	bout
9	answer
9	yumyum
9	cut
9	might
9	curtain
9	easter
9	course
9	everybody
9	chirp
9	mush
9	she's
9	strawberry
9	pinch
9	square
9	button
9	smell
9	refrigerator
9	tummy
