Freq	Type
2944	oh
1684	ew
1602	here
1456	a
1407	yeah
1370	you
1363	all
1321	and
1304	what
1254	that
1135	no
1094	okay
1089	are
979	i
899	that's
889	it
882	your
853	see
836	l
808	aw
805	me
755	up
753	one
706	henry
700	or
681	there
659	huh
638	i'm
638	let's
618	go
606	right
606	the
588	at
577	mommy
569	it's
568	ah
562	for
557	good
502	down
500	uhoh
487	out
478	to
478	we
477	be
475	on
463	come
442	this
421	just
407	more
388	boy
371	look
368	op
362	say
358	of
357	rye
352	yes
342	back
336	hi
328	what's
328	don't
319	where
307	with
303	little
299	well
293	way
280	who
277	i'll
270	kitty
269	oops
268	baby
263	do
261	i'd
257	is
255	lee
254	how
251	purr
244	air
239	book
238	he
237	can
236	some
235	why
234	own
234	pee
228	big
227	thing
225	off
220	by
220	feet
210	my
204	ready
203	ice
200	like
193	get
190	read
188	his
187	mommy's
183	was
181	gonna
178	honey
178	we'll
176	where's
175	think
173	ease
172	have
171	eight
169	shoe
167	she
166	girl
165	but
163	in
160	oink
158	head
152	juice
151	there's
149	play
147	pooh
146	bunny
145	three
144	will
142	hand
138	sit
135	did
135	them
133	n
132	old
130	let
127	any
124	bet
122	nose
121	icy
121	ann
119	d
119	k
118	eat
117	her
117	hell
110	t
110	hat
107	key
106	man
105	put
104	hair
103	want
102	got
101	sweetie
100	chair
98	bottle
97	bird
95	yellow
94	bah
94	went
93	bear
89	first
87	finger
86	should
85	wanna
83	beep
82	green
81	done
81	hold
79	fat
78	funny
78	house
77	our
76	please
76	bar
75	find
75	s
75	goes
74	ring
74	you'll
73	sweet
73	beak
72	end
72	window
71	here's
70	oopsie
69	low
69	really
68	fur
67	fun
67	bit
67	ho
66	animal
66	use
66	wait
65	tickle
64	then
62	babies
62	whole
61	very
60	going
60	books
60	fall
59	can't
59	make
57	chew
57	pig
56	pretty
56	mom
56	might
55	fly
55	getting
55	m
54	looks
54	ouchie
53	view
53	us
52	shirt
52	six
51	pattycake
51	maybe
50	he's
50	feel
50	still
49	shake
48	again
47	white
47	uppie
46	pick
46	mean
46	mama
45	winnie
44	piggy
44	gee
43	when
42	friend
42	late
42	wet
42	box
42	belly
42	bless
42	leap
42	silly
41	gotta
40	hurt
40	cheese
39	ups
39	ear
39	bread
39	oop
39	you'd
38	clink
38	meat
38	lemme
37	fingers
37	show
37	cup
37	mall
36	pull
36	field
35	lady
35	bring
35	plane
35	cheery
35	wheat
34	cute
