Freq	Type
4747	you
2115	oh
1581	it
1540	no
1532	the
1495	a
1389	yeah
1352	here
1299	what
1257	that
1133	me
1045	i
1035	and
971	to
950	there
919	see
904	go
889	are
813	that's
809	your
753	ma
749	we
739	up
731	say
730	on
684	do
676	is
663	k
635	in
628	huh
592	can
569	t
568	okay
566	come
557	one
552	look
551	get
517	be
508	put
505	this
469	all
445	let's
425	knee
415	it's
415	down
410	don't
396	good
389	ew
381	too
376	right
368	now
354	mommy
346	want
344	out
344	hi
330	hen
322	for
310	d
306	where
303	m
299	pee
297	yes
290	whoa
289	uhoh
288	lee
284	where's
283	back
281	have
273	i'm
273	at
273	what's
269	boy
264	did
255	oops
252	some
251	l
246	got
244	like
237	more
237	key
236	henry
226	book
226	he
225	them
225	there's
223	hey
221	with
214	bay
212	so
208	of
203	just
203	gonna
203	big
201	not
197	play
195	thank
193	well
191	way
180	my
177	they
174	wanna
174	moo
171	stop
164	ball
163	how
160	purr
156	who
153	off
152	kitty
150	eat
145	nose
142	here's
141	by
139	day
138	pooh
134	baby
131	but
131	three
131	low
126	read
125	mouth
125	little
124	me's
124	xavier
122	girl
122	think
121	sit
119	side
118	those
118	take
117	she
117	juice
115	was
113	why
111	i'll
109	stir
108	hold
106	does
102	feet
101	her
101	can't
101	boo
101	head
95	ready
95	him
93	bear
91	chew
90	doing
89	try
88	alright
88	then
87	stairs
86	toy
85	whoops
85	would
83	if
82	let
81	his
80	turn
80	boom
79	we'll
78	phone
78	oink
78	mommy's
78	bout
78	done
77	goes
77	thing
76	foot
76	time
74	watch
73	again
73	hair
73	hello
73	stuff
72	these
72	please
72	march
72	nice
71	yay
71	who's
70	water
70	or
70	push
69	jump
68	man
68	cheese
68	tim
66	bird
65	lay
65	wait
64	give
64	care
63	bah”
63	shoes
62	lemme
62	job
62	spoon
61	said
61	alex
61	bunny
61	need
61	keys
60	walk
60	over
60	gotta
59	wow
59	timmy
59	blue
59	sweetie
58	says
58	green
57	chair
57	cow
57	dog
56	throw
56	ring
56	sweet
56	he's
55	about
55	ya
55	box
55	going
55	yeh
54	icy
54	self
54	clean
53	will
53	da
53	bus
53	mom
53	has
52	dye
52	night
52	dough
51	when
51	were
51	cake
50	room
50	drink
50	toys
50	sir
50	sure
50	stand
49	door
49	careful
49	oopsie
49	from
49	gone
49	leave
49	face
48	pie
48	duck
48	first
48	help
47	bees
47	meow
47	quack
47	find
47	mkay
47	paul
47	move
47	wash
47	books
46	open
46	toes
46	pick
45	still
45	may
45	around
45	mow
45	car
45	ah
44	outside
44	five
44	eyes
44	mail
43	went
43	doggie
42	cat
42	isn't
42	house
42	cup
42	doesn't
42	make
42	god
42	love
42	hand
41	honey
41	yuck
41	aw
41	old
41	hat
40	bed
40	ty
40	hurt
40	bottle
40	hot
40	maggie
40	new
39	wrong
39	six
39	noise
39	s
38	gee
38	close
38	left
37	much
37	hands
37	fall
37	could
37	shoe
37	through
37	oop
37	things
37	bread
36	goodness
36	beep
36	horsie
35	roll
35	barn
35	part
35	uhhuh
35	long
35	tail
35	sing
35	v
35	away
35	had
34	byebye
34	food
34	yum
34	kiss
34	bib
34	something
34	other
34	blocks
33	though
33	wet
33	yellow
33	neigh
33	nana
33	piggy
33	pants
33	whole
33	bit
33	ouchie
33	shake
32	win
32	didn't
32	cookie
32	knock
32	yummy
32	end
32	which
31	page
31	mama
31	ten
31	keep
31	should
31	socks
31	mess
31	home
31	zip
31	bowl
30	milk
30	tickle
30	finger
30	clap
30	bath
30	mister
30	else
29	horse
29	piece
29	because
29	dry
29	floor
28	bring
28	lie
28	teeth
28	fur
28	blow
28	peekaboo
28	fun
28	pull
27	nope
27	bite
27	shirt
27	fell
27	sound
27	lunch
27	knees
27	sorry
27	smell
27	fat
27	splash
27	work
27	wave
27	dub
26	toe
26	bad
26	belly
26	name
26	light
26	fit
26	us
26	great
26	she's
25	buzz
25	pay
25	diaper
25	baa
25	yet
25	mouse
25	yep
25	round
25	fingers
25	cold
25	cool
24	stay
24	sees
24	brown
24	tell
24	pretty
24	show
24	sun
24	dirty
24	taste
24	as
23	eight
23	truck
23	cute
23	own
23	talk
23	better
23	block
23	looks
23	puppy
23	next
23	nine
22	comes
22	feel
22	n
22	hop
22	bouncie
22	piggies
22	joe
22	legs
22	sleep
22	most
22	roo
22	woof
22	pig
22	bag
22	under
22	allen
22	bless
21	while
21	tongue
21	makes
21	hug
21	stick
21	black
21	clock
21	tree
21	row
21	soon
21	fish
21	ear
21	people
21	leg
21	getting
20	such
20	song
20	giddyup
20	mean
20	happy
20	snap
20	rain
20	bike
20	lots
20	hard
20	found
20	fly
20	full
19	pop
19	came
19	elmo
19	apart
19	really
19	pen
19	you'll
19	brush
19	plane
19	babies
19	very
19	trees
19	seven
19	minute
19	couch
19	run
19	ears
19	faye
19	later
19	bang
19	soft
19	square
19	heart
19	upstairs
18	bears
18	ray
18	bert
18	won't
18	orange
18	blankie
18	wipe
18	smart
18	silly
18	mirror
18	nap
17	zipper
17	any
17	guess
17	downstairs
17	lamb
17	small
17	whoop
17	tabitha
17	maybe
17	tigger
17	took
17	sweetheart
17	change
17	yourself
16	dat
16	eggs
16	together
16	might
16	use
16	ride
