Freq	Type
3435	you
2691	it
2264	that
2199	and
1879	here
1740	oh
1705	to
1679	okay
1665	yeah
1401	on
1370	a
1363	me
1339	the
1336	do
1326	no
1256	what
1255	there
1255	up
1219	is
1216	that's
1199	this
1163	see
1099	be
1084	for
1053	are
981	go
963	i
912	we
891	can
886	mommy
882	henry
855	one
838	in
815	your
767	get
747	down
743	it's
726	of
714	all
713	look
708	now
704	put
699	baby
685	like
631	where
629	with
620	too
592	lee
586	uhoh
571	little
557	say
539	kitty
533	good
515	my
506	not
497	just
493	d
476	have
470	don't
462	out
459	let's
449	right
444	so
439	yes
435	they
434	some
418	them
415	back
413	what's
403	he
401	got
396	did
395	hi
392	more
391	key
391	huh
391	where's
388	how
383	over
376	but
375	off
372	there's
367	dillon
367	i'm
356	hey
353	t
345	sweetie
337	about
336	maggie
325	pee
317	xavier
317	morgan
315	again
314	knee
311	take
306	mommy's
303	well
287	read
283	come
282	alright
280	let
279	stop
267	why
259	her
252	mandy
252	time
251	here's
249	she
244	big
241	thank
240	ball
236	ready
234	icy
232	girl
231	play
230	give
229	stuff
228	him
221	if
219	open
216	feet
214	at
212	when
208	going
208	boy
206	gonna
206	water
206	those
204	eat
204	honey
203	daddy
202	something
200	by
199	i'll
199	his
196	way
194	want
193	was
187	turn
187	around
187	we'll
186	hold
185	lemme
185	pooh
184	book
179	nose
177	oops
170	away
169	meow
168	hello
168	these
166	try
164	who
159	boom
159	thing
156	today
155	morgie
154	or
153	because
151	he's
151	mama
146	day
146	watch
146	lay
145	peekaboo
144	very
141	outside
137	any
135	another
135	dye
134	purr
131	isn't
130	silly
130	will
129	bunny
124	pretty
124	blue
123	doing
123	nice
121	really
121	yellow
120	make
120	better
119	leave
118	wanna
118	tell
118	three
116	clean
115	still
115	from
115	bite
114	people
112	bring
112	shoes
112	food
111	moo
111	wait
110	hands
110	move
110	stand
109	then
108	does
108	sing
106	think
104	foot
104	man
104	please
103	k
103	wow
103	would
102	goes
99	under
98	hot
97	head
97	gotta
97	green
97	hand
96	dada
96	may
92	our
91	has
91	teeth
90	side
89	were
88	whoops
88	had
88	whoa
87	throw
87	fun
87	low
87	wash
87	who's
87	clap
85	can't
85	keep
85	shirt
84	drink
84	yay
84	first
83	sit
83	love
83	babies
83	own
82	she's
82	getting
79	roll
78	milk
78	toy
77	which
77	said
77	alone
76	toys
76	juice
76	even
75	excuse
75	didn't
75	bottle
75	hat
74	trying
73	mouth
73	sweetheart
72	find
72	doesn't
72	almost
71	went
71	doggie
71	could
71	close
70	cat
70	through
69	you've
69	as
69	vas
69	diaper
69	eating
69	bear
68	home
68	should
68	hair
68	stir
68	sure
68	bed
67	room
66	elmo
66	aren't
66	morgan's
66	fur
66	pants
66	long
66	cold
65	house
64	things
64	done
