Freq	Type
3494	you
1819	oh
1453	okay
1428	yeah
951	no
840	i
820	what
802	here
772	huh
721	baby
619	go
600	little
529	uhoh
514	and
494	that
471	mommy
450	it
450	wanna
442	doing
440	look
434	one
421	gonna
421	see
407	up
401	the
353	dillon
350	ball
349	yes
343	good
321	that's
318	kitty
300	going
299	there
295	mama
294	say
288	alright
285	this
285	now
283	gotta
279	water
274	sweetie
268	it's
260	hi
255	ready
253	we
252	hey
244	morgan
240	a
237	be
230	me
218	out
216	mandy
213	maggie
205	book
204	too
201	very
193	hello
192	on
189	let's
185	girl
179	really
178	daddy
176	don't
173	again
173	do
172	boy
171	boom
168	peekaboo
167	ty
166	icy
165	down
163	pretty
163	off
162	tickle
160	brooklyn
150	more
147	mommy's
144	lemme
143	mooshas
142	other
140	yummy
140	back
130	way
130	for
129	right
129	morgie
123	stop
123	silly
123	nose
122	getting
120	head
119	sweetheart
119	my
117	gimme
114	eat
114	doggie
110	tyrese
105	something
105	he
103	mouth
103	hair
103	yaya
102	bite
102	chicken
102	bear
101	away
100	outside
100	apple
100	yep
100	cat
99	yellow
98	cake
98	come
97	diaper
96	want
96	door
95	piggy
94	hand
92	patty
92	minute
91	over
91	better
91	floor
91	today
91	well
88	looking
88	teddy
86	sleepy
86	any
85	pie
84	juice
83	milk
83	happy
83	wow
83	dada
83	mkay
83	is
82	kiss
81	moosh
79	i'm
79	oops
79	ya
78	three
77	hands
77	him
76	so
75	dirty
75	microphone
75	day
74	whoa
74	honey
74	feet
74	phone
73	tired
72	funny
72	teeth
72	fish
71	basket
71	cookie
70	bunny
69	cup
69	them
69	in
69	moo
69	chair
69	around
68	hot
68	playing
67	alexander
67	play
66	thing
64	all
64	face
63	moomooshas
63	drink
63	people
62	mister
62	page
62	maybe
62	car
62	house
61	open
61	foot
61	toes
61	tasty
61	vas
59	please
59	time
58	belly
58	stuff
58	bottle
58	our
57	shoes
57	careful
56	tree
56	where
56	fun
55	whoops
55	coming
54	cold
54	leg
54	hungry
54	spoon
54	orange
53	poopie
53	what's
53	big
53	did
53	man
52	eating
52	sleep
51	can
51	pee
50	stinky
50	elmo
49	shirt
49	kinda
48	bed
48	nana
48	bit
48	sauce
47	by
47	flower
47	dog
47	your
47	ouch
46	bout
46	cow
46	brisco
46	there's
46	cheese
46	dear
46	upstairs
44	shoe
44	daddy's
44	sock
44	ear
44	even
44	toy
43	pot
43	walk
43	meow
43	nice
43	five
43	hat
42	end
42	lee
42	dinner
42	cheery
42	spider
41	read
41	later
41	being
41	they
41	jacob
40	baba
40	babies
40	bird
40	not
40	done
40	yay
40	downstairs
40	only
39	help
39	food
39	because
39	knee
39	booty
39	bath
39	another
38	got
38	love
38	box
38	booboo
38	these
38	clothes
38	window
37	room
37	boo
37	wait
37	second
37	watch
36	circle
36	pooh
36	some
36	mirror
36	walking
36	almost
36	banana
35	boneen
35	uhhuh
35	thirsty
35	yourself
35	triangle
35	birthday
35	story
34	matter
34	finger
34	puppy
34	sorry
34	saying
34	yet
34	much
34	close
34	mickey
34	truck
34	moomoo
33	are
33	balloon
33	goes
33	mean
33	bag
33	gentle
33	about
32	w
32	mandy's
32	everywhere
32	paper
32	sun
32	somebody
32	clean
32	baa
32	fingers
32	nothing
31	else
31	turtle
31	her
31	remember
31	toe
31	ernie
31	table
31	arm
31	though
31	yours
31	where's
31	memee
30	those
30	finished
30	think
30	wet
30	he's
30	gone
30	nope
30	under
30	move
30	body
30	work
29	mine
29	cracker
29	stairs
29	bucket
29	night
28	peaches
28	first
28	green
28	clap
28	why
28	home
28	pants
28	mooshaboosh
28	already
28	morgan's
27	just
27	fuzzy
27	inside
27	like
27	seven
27	sammy
27	square
27	horsie
27	number
27	scoop
27	turnaround
26	duckie
26	bib
26	babe
26	icky
26	side
26	turn
26	mama's
26	how
26	duck
26	everything
25	us
25	six
25	pears
25	game
25	miranda
25	will
25	mess
25	peg
25	but
25	goldfish
25	breakfast
25	light
25	mom
24	try
24	stroller
24	rabbit
24	picture
24	either
24	purple
24	crying
24	said
24	we'll
24	bowl
24	tongue
23	noodles
23	lunch
23	talking
23	mad
23	name
23	stick
23	bad
23	coffee
23	towel
23	lion
23	dollie
23	vasie
23	flowers
23	dishes
23	at
22	blue
22	song
22	peas
22	snap
22	puzzle
22	before
22	crazy
22	top
22	mootie
22	happened
22	swing
22	daisy
22	get
22	jesus
22	part
22	throwing
22	wonder
21	things
21	never
21	pool
21	cute
21	rain
21	doll
21	apples
21	god
21	chips
21	probably
21	into
21	eyes
21	different
21	rocks
21	stink
21	morgie's
21	grass
21	bean
21	cupcake
20	hurt
20	kitchen
20	find
20	balooga
20	drum
20	town
20	wonderful
20	leaf
20	socks
20	eight
20	clock
20	wide
20	lettuce
20	making
20	whole
20	sitting
19	ever
19	color
19	cool
19	whoopsie
19	bouncing
19	piece
19	row
19	tray
19	piglet
19	snack
19	noise
19	blanket
19	toys
19	yum
19	world
19	star
19	pamper
18	early
18	mother
18	squirrel
18	fine
18	nap
18	after
18	bread
18	to
18	monkey
18	falling
18	neigh
18	lookee
18	running
18	handsome
18	fall
18	children
18	trees
18	messy
17	chin
17	from
17	heavy
17	pulling
17	jump
17	birdie
17	fur
17	balloons
17	bubbles
17	stuck
17	then
17	while
17	shut
17	finish
17	puppies
17	loud
17	fussing
17	have
17	sweet
17	squirrelie
17	thirty
17	kangaroo
17	books
17	closed
17	problem
17	tower
17	singing
16	strong
16	drinking
16	peepee
16	cuddly
16	rainbow
16	pull
16	nasty
16	nine
16	bigger
16	minutes
16	rooster
16	sealie
16	doggies
16	pillow
16	gate
16	pear
16	steps
16	morning
16	pocket
15	raisins
15	rock
15	yuck
15	barbie
15	twenty
15	tonight
15	train
15	bouncie
15	ew
15	tigger
15	couch
15	next
15	wall
15	run
15	carry
15	still
15	hug
15	uncle
15	sweater
15	computer
15	balls
14	humpty
14	dry
14	squash
14	card
14	sing
14	egg
14	ears
14	jacket
14	white
14	pokemon
14	actually
14	ground
14	angel
14	yucky
14	somewhere
14	button
14	raisin
14	rice
14	says
14	girlie
14	doctor
14	flying
14	monster
14	neck
14	place
14	dressed
14	with
14	music
14	glasses
14	works
14	leaves
14	telling
14	exciting
14	fit
14	peanut
13	pan
13	rest
13	biting
13	airplane
13	daughter
13	cry
13	excited
13	working
13	bumpy
13	anything
13	ducks
13	soft
13	dumpty
13	bottom
13	rough
13	jay
13	byebye
13	lady
13	ten
13	baseball
13	empty
13	hard
13	does
13	ma
13	butter
13	booboon
13	bump
13	chilly
13	tail
13	mouse
13	school
13	crackers
13	cough
13	couple
12	choochoo
12	through
12	shapes
12	shiny
12	smile
12	fountain
12	holdup
12	winky
12	closet
12	fast
12	family
12	feeling
12	crayon
12	many
12	drawer
12	heart
12	quiet
12	comes
12	farmer
12	pudding
12	pajamas
12	long
12	hiding
12	friend
12	idea
12	favorite
12	truly
12	birds
12	batter
12	hayley
12	put
12	lid
12	jaylen
12	tummy
12	abcs
12	climbing
12	standing
12	oven
12	deep
12	bus
12	fussy
12	spout
11	glass
11	beautiful
11	corner
11	fire
11	spitting
11	who
11	lolly
11	broom
11	goodness
11	slam
11	horsies
11	changed
11	laundry
11	lamb
11	simba
11	d
11	sure
11	cutie
11	sailboat
11	faces
11	busy
11	bike
11	real
11	yogurt
11	granddaddy
11	awful
11	swimming
11	self
11	money
11	abc
11	recording
11	toilet
11	string
11	lord
11	great
11	wanted
10	sleeping
10	tweety
10	call
10	catch
10	slide
10	tissue
10	plate
10	elephant
10	carrot
10	farm
10	seat
10	has
10	piggies
10	plant
