Freq	Type
24779	you
11197	the
11002	a
7584	it
6745	oh
6308	that
5997	your
5955	to
5593	i
5563	me
5508	are
5256	go
5051	and
4762	what
4467	here
4233	no
4124	do
4100	see
3910	is
3783	in
3767	we
3476	there
3445	get
3336	this
3274	yeah
3117	up
3027	that's
2974	okay
2900	on
2868	can
2746	gonna
2714	don't
2588	put
2576	one
2574	be
2442	all
2407	ma
2223	say
2222	for
2055	have
2054	it's
2047	want
1995	huh
1978	good
1908	little
1903	let's
1830	like
1746	wanna
1736	right
1714	my
1710	down
1698	knee
1657	not
1631	some
1583	got
1572	too
1521	where
1355	ew
1347	come
1338	look
1313	so
1307	now
1289	more
1267	i'm
1252	out
1250	just
1249	back
1235	baby
1196	he
1189	with
1084	them
1073	did
1071	of
1067	what's
1038	where's
1026	big
980	yes
946	way
932	kitty
930	hi
920	there's
920	they
916	henry
903	boy
877	at
876	book
875	ball
834	eat
832	take
816	think
808	hey
808	d
801	how
795	off
760	t
748	can't
745	was
728	play
720	man
717	try
708	thank
704	mommy's
668	ready
651	read
635	but
631	well
622	sweetie
619	gotta
616	pee
607	bout
585	let
578	why
571	those
565	water
561	him
554	who
554	stop
554	if
529	give
525	we'll
520	she
514	need
508	sit
506	very
506	his
502	her
498	these
490	dillon
489	mama
488	nose
484	lemme
484	hold
483	thing
479	i'll
467	head
460	lee
460	here's
453	l
450	then
445	something
443	turn
442	maggie
437	pooh
437	feet
437	mouth
435	does
433	whoa
433	day
426	done
425	nice
421	he's
405	girl
391	bear
388	three
386	hello
384	around
383	stuff
382	bay
379	juice
377	time
376	oops
374	boom
372	by
370	throw
366	has
360	other
355	getting
348	will
348	peekaboo
343	outside
343	love
339	ty
337	daddy
335	when
335	hands
334	moo
332	tickle
332	really
332	hair
331	or
328	would
327	pretty
324	clean
323	make
320	morgan
319	find
318	xavier
317	still
316	goes
313	doggie
306	lay
303	hand
302	help
301	didn't
300	better
296	shoes
296	watch
292	bite
281	wait
280	ya
278	cat
274	side
272	walk
271	bird
270	yay
269	wash
266	chair
265	drink
261	toy
259	door
258	push
257	please
253	yellow
