Freq	Type
18338	a
12063	oh
12059	ew
9071	ah
7461	i
5660	aw
4810	you
2406	it
2084	the
1980	at
1798	ann
1739	or
1720	to
1585	on
1566	no
1459	air
1391	yeah
1166	are
1123	me
1121	in
1091	go
1076	ear
1041	we
954	that
948	ma
873	all
850	see
795	is
785	what
781	up
752	be
747	own
742	l
722	k
716	here
707	huh
699	t
676	do
662	eat
648	ease
601	okay
594	and
592	say
570	n
568	uhoh
567	m
510	lee
476	rye
469	dough
459	knee
445	i'm
432	i'd
417	out
401	d
397	there
396	your
394	pee
390	hi
380	too
371	lie
369	now
349	s
345	this
344	come
341	of
335	mom
330	my
329	he
328	look
325	“i'll
322	low
321	oop
321	yeh
311	where
309	can
301	bay
293	let
290	lay
289	get
288	one
287	way
285	nah
278	hey
277	so
263	moo
259	key
258	it's
256	ice
248	ty
245	us
237	good
235	“i'm
231	boy
224	why
221	if
217	boo
215	right
215	whoa
211	may
207	i'll
207	put
205	by
203	got
199	tell
192	op
188	how
183	eight
182	off
181	they
180	yes
180	that's
179	add
178	use
177	for
173	mommy
170	down
168	who
163	more
161	have
161	you'd
161	lit
158	day
154	did
153	ubb's
152	row
150	purr
149	she
147	pooh
146	ho
143	read
142	you'll
140	babe
139	ray
135	not
134	bow
131	oops
129	some
128	la
126	da
126	with
125	“bah
124	back
123	though
122	itty
122	caw
121	kit
121	like
119	book
119	ink
114	let's
113	toe
111	sigh
111	there's
108	ball
108	her
107	play
105	aim
104	baby
104	dye
104	don't
102	gonna
101	ought
99	big
98	ha
98	were
96	roo
96	old
95	gee
94	them
94	thing
93	cat
93	want
93	as
92	al
92	am
90	girl
90	known
88	thee
88	shoe
88	well
87	man
87	saw
87	pie
87	aunt
86	eddie
86	cow
85	aid
84	lou
81	mow
81	egg
80	ale
80	yay
79	hen
78	wheat
78	try
77	odd
77	but
73	take
72	boom
72	kitty
71	sit
71	wow
71	wanna
71	what's
71	whew
70	fur
70	eve
69	ya
69	chew
69	top
69	ago
68	turn
67	nose
66	our
66	icy
66	toy
65	bear
65	eyes
61	was
61	away
61	it'll
59	tar
59	where's
59	bo
58	him
58	does
58	i've
57	ouchie
57	ring
56	mama
56	over
55	done
55	just
55	tick
55	neigh
55	head
54	dog
54	new
54	gotta
53	aggie
53	me's
53	side
53	wait
52	other
52	sir
51	then
51	whole
51	ouch
51	mouth
51	three
51	feet
50	going
50	love
50	tim
49	nice
48	we'll
48	ready
48	age
46	each
46	need
46	tan
46	those
45	yum
45	little
45	peek
44	arm
44	ears
44	stir
43	bout
43	wash
43	pay
43	weak
43	again
43	don
43	mkay
43	car
43	yep
43	push
43	tin
42	sweet
42	foot
42	juice
42	dad
42	faye
42	watch
41	he's
40	ounce
40	pig
40	his
40	mag
40	time
40	stop
39	phone
39	can't
39	doing
39	moosh
39	here's
39	pat
39	ugh
38	cake
38	when
38	make
38	henry
37	night
37	would
37	tough
37	give
36	itch
35	meow
35	cup
35	fine
35	hand
34	kiss
34	else
34	water
34	meat
34	chair
34	v
34	thank
34	view
