Freq	Type
9332	you
4633	oh
3187	the
2962	a
2840	no
2797	it
2730	yeah
2559	here
2519	what
2400	that
2304	i
2069	me
1925	go
1917	and
1866	to
1778	see
1728	are
1724	there
1513	your
1511	k
1495	on
1465	we
1425	ma
1380	do
1374	be
1374	that's
1373	up
1369	huh
1361	is
1286	come
1229	this
1166	look
1148	okay
1133	say
1131	one
1105	t
1100	in
1058	can
1055	get
999	all
957	don't
957	good
908	it's
906	let's
844	d
836	put
768	right
761	at
739	yes
723	down
703	want
700	for
693	too
693	knee
690	more
689	hi
672	now
670	ew
663	l
652	where
642	out
640	pee
609	have
608	lee
582	bay
573	some
566	i'm
559	my
557	uhoh
539	what's
535	hey
526	where's
510	did
500	m
493	mommy
491	not
485	back
483	like
473	got
471	boy
453	with
453	of
450	he
446	so
441	ball
423	there's
417	key
415	book
408	just
400	way
395	play
390	whoa
383	them
370	gonna
369	thank
368	baby
362	big
355	they
353	stop
347	oops
347	how
346	by
332	wanna
332	off
331	moo
328	girl
327	man
324	ty
319	eat
317	well
304	hen
303	purr
299	here's
298	low
292	boom
291	little
288	why
280	day
273	but
269	nose
269	who
252	henry
249	take
248	boo
247	side
239	kitty
239	three
238	think
236	let
226	me's
225	try
225	sit
222	mouth
221	read
219	was
212	alright
210	we'll
208	she
208	those
206	juice
204	bear
203	him
202	can't
200	if
193	feet
193	doing
192	i'll
192	head
189	ready
186	stir
185	pooh
184	bout
184	done
180	hold
179	turn
176	her
176	he's
173	nice
171	mama
169	give
169	yay
169	these
167	watch
165	phone
165	thing
164	time
163	gee
162	gotta
159	then
158	da
158	again
154	does
152	wait
151	stairs
147	stuff
147	his
146	wow
145	whoops
145	hands
145	hello
145	sweetie
144	maggie
143	hair
142	goes
140	please
140	going
138	bah
136	would
135	sweet
135	dye
134	water
132	or
132	need
132	over
132	ya
130	night
130	hand
129	bird
128	when
128	yep
128	throw
126	push
124	xavier
122	foot
122	mommy's
121	toy
121	cake
120	bite
120	will
119	drink
119	cat
118	green
118	who's
117	chew
117	dillon
117	door
117	love
116	may
115	shoes
115	blue
113	open
112	yeh
112	make
111	clean
110	self
109	find
108	icy
108	help
106	cheese
106	care
106	chair
105	room
105	cow
105	lemme
104	dog
104	lay
103	five
102	gone
