Freq	Type
12809	you
11288	the
5968	to
5389	your
3903	it
3696	that
3664	are
2940	me
2505	in
2369	at
2197	ma
2134	we
2015	get
1986	see
1951	no
1815	do
1809	got
1799	be
1738	i
1735	is
1710	have
1690	oh
1674	for
1597	on
1576	can
1506	and
1497	with
1389	bay
1363	out
1362	don't
1266	all
1262	my
1221	some
1219	put
1193	lit
1161	go
1152	like
1139	so
1132	of
1100	what
1065	ah
1053	want
1034	l
936	k
925	more
868	up
853	one
811	here
791	ann
787	them
769	thing
765	down
760	t
743	not
727	just
716	back
704	too
676	was
664	did
645	eat
643	hen
633	pee
625	me's
622	play
619	he
594	this
592	lie
580	big
577	lee
574	say
565	other
557	there
553	can't
533	over
519	his
514	good
507	right
501	if
500	knee
499	ease
482	d
475	look
470	lay
469	they
446	come
434	“bah
419	read
415	dye
398	kit
397	let
377	her
365	snot
363	how
363	where
356	going
356	may
353	need
341	very
336	way
335	those
333	these
326	were
326	has
326	she
324	but
320	him
317	rye
312	love
311	kitty
310	sit
306	man
305	“i'll
302	by
298	getting
295	fur
293	something
293	or
286	mow
279	does
275	when
274	doing
264	tick
261	off
261	huh
258	ha
256	give
255	didn't
248	book
248	will
247	row
246	i'm
246	s
244	purr
240	day
237	hi
236	sweet
235	had
235	then
222	any
217	doesn't
216	use
216	sigh
213	stuff
212	key
212	nah
207	why
207	ago
206	trying
204	water
202	new
201	ball
198	from
197	sir
197	low
196	air
195	da
194	we'll
190	could
189	throw
188	think
188	n
185	around
185	tell
182	that's
180	through
179	care
177	ty
177	whole
176	really
173	take
171	bear
169	there's
165	miss
164	now
164	pig
162	moo
161	win
161	boo
160	looking
158	op
158	feel
157	al
157	wash
157	should
154	done
154	it's
154	gee
153	own
149	help
147	pick
146	make
146	says
146	find
145	saw
145	try
143	i'll
143	side
142	would
142	pretty
141	goes
141	ew
141	dad
140	cat
140	head
140	won't
139	chick
138	chew
136	pooh
135	don
134	our
133	kiss
130	away
130	hung
129	sure
129	dog
129	much
128	feet
124	bit
123	who
122	night
121	oink
120	bees
119	boy
116	went
115	stay
115	tin
115	ready
114	time
114	green
113	toy
113	sand
113	fall
112	blue
111	fin
110	yum
110	pull
109	such
109	comes
109	toe
109	three
109	juice
109	better
108	isn't
107	as
107	bus
106	brown
105	shoes
104	playing
104	hold
103	keep
102	been
102	loves
102	fell
102	being
101	tim
100	walk
99	cup
98	ray
97	la
97	mess
96	jeez
95	bath
95	foot
95	push
94	things
94	sing
94	hit
94	wrong
94	bunny
94	dough
94	hair
93	neck
93	hey
93	piggy
92	clean
92	old
92	yell
92	nose
92	fit
92	ring
91	neigh
91	spy
90	turn
89	sun
88	said
88	tab
87	talking
87	eight
87	bite
86	finger
86	hand
85	hands
85	he's
85	yes
85	smell
84	face
83	bar
83	must
83	door
83	hurt
83	close
81	double
81	fine
81	dove
80	yeah
80	rat
80	show
80	might
80	eve
79	chair
79	long
79	took
79	bed
79	daddy
79	roo
78	let's
78	sat
78	bless
78	tall
78	moosh
78	sound
78	hard
78	found
77	told
77	yummy
77	else
77	putting
76	what's
76	yay
76	sock
75	bring
75	gonna
75	coming
75	dry
75	eating
74	m
74	guess
74	car
73	shoe
72	never
72	jay
72	mouth
71	dan
71	clothes
71	change
71	toys
70	quack
70	bo
70	though
70	leave
69	sitting
68	silly
68	ho
67	ya
67	call
67	came
67	phone
67	hat
67	girl
67	am
66	fish
66	clap
66	num
66	v
65	here's
65	talk
65	where's
64	than
64	top
64	bub
64	fun
64	food
64	teeth
63	shake
63	left
63	real
63	mean
62	lot
62	each
62	well
62	bird
61	far
61	stew
61	lou
61	doggie
60	touch
60	cow
60	patty
60	brush
59	knock
59	favor
59	stir
59	kind
59	cookie
59	ways
58	move
57	yup
57	thought
57	bad
57	duck
57	pie
56	tan
56	snow
56	aren't
56	byebye
55	black
55	mitt
