Freq	Type
7142	a
6472	you
4832	the
4199	ew
3997	oh
3384	your
3306	to
3293	i
3057	and
3045	yeah
2796	it
2511	no
2474	okay
2036	in
1897	we
1892	here
1729	huh
1644	are
1608	up
1591	see
1587	go
1574	on
1515	get
1390	say
1383	that
1332	there
1322	it's
1309	at
1227	gonna
1220	all
1151	is
1113	uhoh
1075	have
1074	put
1073	out
1042	some
1028	do
1025	for
1021	too
1020	that's
1012	one
991	let's
966	wanna
956	of
944	look
883	can
871	air
870	with
825	what
821	good
803	my
802	like
796	now
780	ear
761	down
749	little
741	ah
737	i'm
698	eat
689	hi
677	this
641	henry
637	me
636	more
611	yes
608	mom
594	back
593	got
576	did
567	don't
566	be
562	want
558	hey
557	not
552	so
551	book
550	mommy
550	them
548	take
537	play
533	or
529	off
522	there's
521	right
520	over
512	ann
503	just
498	they
489	come
462	dough
451	again
450	ball
437	ready
424	nah
423	he
414	alright
407	think
406	kitty
392	if
386	let
385	oops
382	baby
364	need
360	stop
358	whoa
352	read
349	thing
347	but
335	how
334	ease
332	we'll
318	her
314	big
313	well
309	hello
304	byebye
304	xavier
302	other
300	toy
293	moo
288	aw
286	make
285	i'll
284	nose
283	morgan
282	n
281	try
279	turn
278	him
277	girl
277	sweetie
274	dillon
272	water
269	open
267	way
262	ty
260	then
259	why
258	his
256	by
253	was
253	sit
251	l
251	here's
248	peekaboo
243	can't
242	k
239	hand
236	juice
235	away
234	bear
233	mama
230	very
230	tim
227	time
226	boom
221	going
219	ma
215	boy
212	where's
211	throw
209	day
208	three
205	side
205	sweet
205	dog
202	lemme
201	maggie
199	doing
198	hold
198	though
198	car
197	she
191	rye
191	shoe
189	could
187	lay
186	something
185	clean
185	dad
184	because
184	who
183	still
182	mkay
181	pooh
180	done
179	gotta
178	where
175	stuff
174	m
171	head
168	chair
168	drink
167	does
166	wash
164	he's
161	alex
161	knee
160	house
159	walk
158	under
157	doggie
157	“i'll
156	around
156	today
154	our
153	has
151	tough
150	when
149	mouth
148	cat
148	goodness
146	kit
145	foot
142	man
142	find
141	apple
140	please
140	move
140	ring
