Freq	Type
8510	you
5610	the
3916	a
3390	oh
3340	your
3078	yeah
2993	to
2990	it
2788	and
2769	no
2714	that
2638	i
2474	here
2322	okay
2220	what
2092	we
1994	get
1951	in
1769	go
1760	huh
1732	that's
1702	this
1687	gonna
1686	see
1511	on
1500	say
1450	one
1443	there
1425	it's
1383	put
1369	me
1359	up
1258	let's
1236	wanna
1235	look
1230	are
1139	have
1131	now
1108	ma
1090	some
1061	for
1025	want
1014	do
1008	is
1008	don't
1002	baby
984	out
976	too
965	uhoh
945	with
943	all
934	mommy
914	not
888	got
852	just
844	good
811	like
806	down
783	can
778	i'm
731	henry
730	back
729	yes
728	more
725	hi
717	my
678	be
669	of
655	them
654	there's
649	play
648	so
641	book
631	little
605	eat
597	he
592	take
586	hey
566	did
564	kitty
547	right
545	well
525	big
521	think
521	they
505	off
500	over
499	but
498	come
492	ball
485	ready
466	we'll
454	sweetie
444	where's
441	k
439	alright
438	where
434	boy
422	can't
409	stop
400	again
398	need
397	whoa
393	if
390	water
384	i'll
376	then
367	at
365	here's
362	oops
359	read
358	these
338	stuff
334	those
328	why
324	hello
321	lemme
320	what's
320	him
309	juice
308	how
307	try
306	her
304	turn
304	byebye
303	she
303	sit
301	xavier
299	he's
298	nose
296	me's
293	ty
292	gotta
291	very
284	girl
283	going
282	make
279	maggie
276	away
274	moo
274	bear
272	other
269	something
269	was
263	peekaboo
260	open
257	dillon
257	let
257	man
255	knee
251	thing
249	boom
246	morgan
240	hold
236	mommy's
235	pretty
233	his
228	find
224	three
220	side
220	when
218	still
217	pooh
215	toy
214	about
213	time
212	throw
211	walk
210	nice
207	has
206	way
204	daddy
203	getting
202	please
201	mama
201	will
201	around
199	didn't
197	really
197	clean
197	hand
194	wash
194	by
191	or
186	ew
186	give
185	mkay
185	doggie
184	sweet
180	drink
180	head
177	better
176	yummy
175	could
172	under
172	help
172	push
171	done
171	day
168	shoes
166	today
166	move
166	watch
165	chair
165	foot
163	cheese
162	mandy
161	doing
160	spoon
158	toys
158	bottle
157	dirty
157	goes
157	house
155	pull
155	cup
153	wait
153	wow
152	doesn't
152	who
150	food
150	lee
150	trying
150	silly
149	keep
148	phone
148	feet
148	brooklyn
147	milk
146	from
146	bunny
146	hot
146	says
145	dog
145	first
145	yellow
145	car
142	whoops
141	does
140	face
140	hands
139	apple
138	yep
137	green
137	hair
137	pattycake
136	much
136	diaper
136	else
134	maybe
134	playing
133	mouth
132	five
131	sleepy
131	cold
131	coming
130	love
130	cat
129	box
129	sorry
129	stand
128	meow
128	uhhuh
127	ya
127	mooshas
