Freq	Type
5039	you
1961	the
1499	gonna
1110	and
1072	in
982	wanna
895	are
882	don't
865	to
847	no
831	go
830	do
798	what
783	get
623	is
619	your
615	on
608	put
595	we
585	i
579	see
570	want
559	it
543	for
539	that
399	little
376	gotta
364	like
358	all
342	think
333	not
324	just
317	did
308	play
297	mommy
277	my
264	that's
258	up
256	got
245	it's
238	this
227	so
214	here
206	going
203	about
194	where
193	say
190	of
189	look
179	be
169	i'm
165	baby
163	some
159	let's
156	there
150	oh
148	but
147	back
146	kitty
146	getting
140	out
139	over
138	then
136	one
132	doing
132	when
130	come
118	tickle
111	how
110	sit
108	too
105	ready
103	read
102	i'll
100	we'll
95	mommy's
91	why
88	now
85	henry
85	open
85	goes
82	down
82	off
81	something
81	wash
79	eat
77	really
77	very
74	or
73	let
72	trying
72	around
71	water
71	wait
70	there's
69	try
65	talking
64	okay
64	better
63	yummy
63	dillon
61	piggy
61	happy
59	other
59	from
58	bouncie
58	oink
57	time
57	playing
56	still
55	people
55	meow
55	turn
54	find
52	away
52	another
51	making
50	almost
50	tell
48	he's
48	yum
48	those
48	they
48	he
48	by
47	pretty
47	eating
46	even
46	clap
45	daddy
44	outside
43	run
43	stuff
43	good
43	keep
43	because
43	wipe
43	me
42	who
41	what's
41	clean
41	under
41	chew
41	right
40	would
40	mess
39	quack
39	babies
39	more
39	yeah
39	until
39	upstairs
39	nice
39	coming
38	mama
38	cookie
37	love
37	drink
37	byebye
36	only
35	supposed
35	kinda
35	silly
35	being
34	big
34	lemme
34	walk
34	mister
33	goodness
33	mama's
33	where's
33	talk
32	any
32	birthday
32	should
31	stop
31	funny
31	finish
31	looking
30	bunny
30	fur
30	downstairs
29	our
29	pull
29	belly
29	always
29	doggie
29	again
29	god
29	yes
28	hit
27	timmy
27	here's
27	after
25	push
25	maybe
25	fuzzy
25	dirty
25	hey
24	sorry
24	honey
24	saying
23	diaper
23	she
23	moo
22	many
22	teeth
22	careful
22	maggie
22	says
21	yellow
21	sweetie
21	move
21	yuck
21	you'll
20	things
20	yourself
20	three
20	sleepy
20	dakota
20	pick
20	stay
20	taking
20	hungry
19	stand
19	book
19	gimme
19	daddy's
19	anything
19	wonder
19	work
19	ball
18	done
18	cute
18	well
18	sweet
18	everything
18	hi
18	top
18	bear
18	walking
18	probably
18	throwing
18	shut
18	watch
17	bottle
17	running
17	sing
17	her
17	wave
17	today
17	hard
17	nothing
17	first
17	food
17	morgie
17	feet
17	drinking
17	climb
16	day
16	boy
16	shake
16	giddyup
16	sitting
16	poopie
16	remember
16	understand
15	books
15	children
15	tired
15	finished
15	him
15	nowhere
15	bite
15	before
15	kisses
15	picture
14	juice
14	bunnies
14	later
14	blow
14	money
14	blue
14	heavy
14	hand
14	peter
14	touch
14	milk
14	cheese
13	orange
13	animals
13	morgan
13	doggies
13	never
13	hair
13	microphone
13	mickey
13	alright
13	grandma
13	eight
13	jump
12	finger
12	cold
12	nose
12	cheerios
12	buckle
12	help
12	bouncing
12	button
12	spider
12	thinking
12	hop
11	paper
11	boom
11	dinner
11	thirsty
11	story
11	fussing
11	sister
11	hat
11	applesauce
11	together
11	brown
11	colors
11	fingers
11	bang
11	toys
11	blowing
11	early
10	close
10	flying
10	bread
10	duck
10	having
10	sleep
10	crawl
10	man
10	five
10	rattle
10	kiss
10	chewing
10	pet
10	ernie
10	somebody
10	oven
10	spoon
10	animal
10	crazy
10	ty
10	elmo
10	six
9	head
9	breakfast
9	chicken
9	wheels
9	cookies
9	shoulders
9	reach
9	wet
9	cereal
9	icky
9	real
9	along
9	which
9	worry
9	potato
9	window
9	pulling
9	baa
9	dada
9	pattycake
9	please
9	fun
8	beautiful
8	quite
8	happens
8	sure
8	it'll
8	seven
8	girl
8	every
8	morgan's
8	zip
8	bump
8	fit
8	falling
8	busy
8	allowed
8	kitty's
8	alex
8	snap
8	balls
8	new
8	tasty
8	singing
8	fish
7	mouth
7	holding
7	stick
7	ahead
7	mom
7	said
7	afraid
7	circle
7	chair
7	eyes
7	pooh
7	knee
7	dinosaur
7	waving
7	number
7	jesus
7	dishes
7	cut
7	shoes
7	wonderful
7	balloons
7	mother
7	nana
7	foot
7	triangle
7	march
7	listen
7	apart
7	poor
7	mittens
7	horsie
7	tummy
7	whatever
7	icy
7	rooster
7	twenty
7	sticking
7	birdie
7	lunch
6	socks
6	music
6	sweep
6	lady
6	handsome
6	banana
6	front
6	double
6	lay
6	anymore
6	rolling
6	cat
6	lord
6	pack
6	windows
6	toy
6	bird
6	messy
6	umbrella
6	donald
6	yesterday
6	monster
6	puppy
6	basket
6	anybody
6	warm
6	ever
6	farmer
6	sad
6	biting
6	goldfish
6	box
6	hello
6	diapers
6	brooklyn
6	call
6	blocks
6	nine
6	empty
6	dear
6	beep
6	climbing
6	sun
6	we've
6	barn
6	dog
6	bears
6	boys
6	into
6	smell
6	noodles
6	dyeisha
6	crying
6	elephant
5	horse
5	bowl
5	refrigerator
5	tape
5	kitchen
5	mirror
5	teddy
5	oops
5	press
5	ten
5	potatos
5	knock
5	mop
5	bottom
5	crackers
5	set
5	easy
5	block
5	groceries
5	second
5	tree
5	piggies
5	bubbles
5	oatmeal
5	pop
5	waiting
5	different
5	sometimes
5	blankie
5	excited
5	underneath
5	definitely
5	tabitha
5	jumping
5	color
5	zoom
5	pig
5	standing
5	pot
5	pumpkin
5	green
5	woody
5	vacuum
5	mandy
5	interested
5	stuck
5	who's
5	cup
5	medicine
5	yet
5	door
5	next
5	birds
5	pumpkins
5	raining
5	hot
5	diapie
5	sweetheart
5	winnie
5	quiet
5	awful
5	fittis
5	macaroni
5	teacher
5	working
4	clifford
4	tomorrow
4	hands
4	hug
4	cover
4	night
4	greedy
4	coffee
4	party
4	mandy's
4	timmy's
4	glasses
4	dancing
4	square
4	helping
4	lotion
4	butterfly
