Freq	Type
4721	oh
3614	i
3208	and
3203	you
3121	ah
3116	ew
3100	yeah
2807	no
2650	okay
2019	see
2014	it
1990	a
1867	in
1826	here
1670	up
1664	are
1550	all
1490	is
1461	say
1382	huh
1365	ease
1339	now
1274	that's
1133	with
1073	uhoh
1069	your
1055	my
1050	go
1042	i'm
1040	to
1035	right
1013	me
999	that
990	one
950	what
884	it's
880	oop
875	we
868	on
852	of
846	how
843	hi
799	look
796	yes
790	let's
785	mommy
762	where's
744	hey
739	good
735	ray
727	so
714	this
709	more
708	there's
704	there
668	hen
666	they
662	too
660	be
651	or
624	some
589	the
581	for
568	purr
568	over
555	have
553	little
552	down
546	baby
542	old
540	eat
528	d
520	row
519	big
506	play
491	m
487	read
480	try
479	ubb's
476	nose
473	by
470	ty
470	own
458	stop
448	here's
442	air
441	why
434	well
433	op
430	if
421	mommy's
420	ready
418	need
406	l
393	boy
392	way
392	come
385	t
381	her
378	do
377	man
375	back
371	aw
369	ring
356	not
345	off
337	rye
332	kitty
331	sweetie
328	k
326	toy
324	stir
323	book
319	we'll
315	low
311	lee
311	time
309	he's
305	“i'll
287	mama
286	tickle
282	what's
280	his
273	stuff
270	like
268	dillon
268	at
267	self
265	ink
256	again
255	them
252	ball
246	where
244	watch
242	day
239	lay
231	today
222	teeth
218	meow
216	around
214	can
211	him
209	don't
207	lie
195	age
195	tell
192	night
191	ear
189	leap
187	he
187	were
186	nah
184	push
184	arm
182	wash
181	away
181	please
180	yellow
176	did
176	wrong
171	clap
167	mandy
166	was
161	cup
160	fur
158	bunny
157	stairs
156	head
156	cook
155	just
155	does
154	timmy
154	honey
153	better
153	dye
149	really
147	may
145	bear
141	use
141	still
141	knee
140	under
138	yeh
138	will
137	which
132	looking
132	ants
131	rush
129	excuse
128	hands
127	nope
126	help
125	leave
125	peep
122	downstairs
122	saw
120	round
117	ever
116	mom
115	jump
114	such
114	cow
114	end
111	then
111	s
110	coming
107	mouth
106	sing
106	less
105	you'll
103	eating
102	hair
102	beak
101	beep
99	hand
98	ann
97	wreath
97	n
96	you'd
96	should
96	maybe
95	tim
91	tall
90	six
87	uppie
86	bake
86	stink
86	march
86	mama's
86	run
85	any
85	sweet
85	touch
84	you've
84	getting
84	lack
84	reach
83	real
83	knees
83	animal
83	side
83	but
81	looks
80	silly
80	long
79	ride
78	goes
78	roll
76	onie
75	us
74	hang
73	pee
71	said
67	close
67	got
67	rest
66	get
65	stay
64	wanna
64	hide
63	want
63	make
63	ahead
63	tray
62	enough
61	when
61	bang
60	eve
60	books
60	gonna
60	babies
59	splash
59	sitting
58	making
58	let
57	wet
57	take
56	taking
54	hat
54	inch
54	wonder
54	monster
53	stick
53	bed
53	mike
53	ears
53	sun
53	tigger
52	joy
52	number
52	done
51	star
51	soap
49	would
49	rough
49	needs
49	rolling
48	tooth
48	cat
48	lied
47	running
47	wide
45	catch
45	alone
45	peter
45	ten
45	tweet
45	along
45	bounce
44	mall
43	yet
42	piece
42	mandy's
41	could
41	sit
41	lap
40	light
40	bite
39	dear
39	bump
39	cake
39	been
39	we've
39	swish
39	deep
38	went
38	timmy's
38	bouncing
38	warm
37	rose
37	clink
37	leaf
37	square
37	redo
37	inside
37	peas
36	buzz
36	king
35	belly
35	sigh
35	wave
35	winnie
34	guess
34	bath
33	into
33	emmy
33	door
32	story
32	swing
32	anyway
32	roar
32	wish
31	bay
31	happy
31	peach
31	telling
31	neat
30	easter
30	makes
30	onto
29	itch
29	tree
29	ago
29	rake
28	strong
28	goodbye
28	ding
28	squash
27	gold
27	i'd
27	straw
27	none
27	tonight
