Freq	Type
6367	you
5293	it
4280	that
4006	and
3690	here
3613	oh
3272	yeah
3087	okay
2926	me
2838	no
2835	what
2805	on
2653	to
2504	there
2469	up
2392	see
2234	do
2116	is
2102	a
2087	for
2041	the
1916	this
1876	are
1759	can
1744	mommy
1727	i
1694	huh
1651	say
1632	one
1618	that's
1589	we
1582	go
1576	it's
1552	be
1492	get
1442	your
1393	in
1372	now
1327	where
1307	all
1276	look
1195	of
1195	baby
1194	too
1155	down
1153	with
1151	uhoh
1114	like
1016	out
991	good
971	yes
953	put
950	back
914	don't
913	henry
898	them
896	where's
877	just
860	right
850	d
849	my
832	they
828	there's
828	what's
825	did
816	over
815	so
814	let's
792	not
786	got
777	little
741	hi
738	t
708	thank
702	off
693	some
693	lee
684	he
680	how
664	hey
647	key
632	but
626	well
605	pee
592	about
588	again
584	have
576	come
564	alright
550	kitty
547	stop
543	take
539	mommy's
539	why
538	here's
536	let
531	knee
529	mama
521	i'm
491	open
489	ball
486	dillon
466	boy
457	lemme
448	want
445	those
443	more
443	icy
442	her
433	read
432	she
432	whoa
429	ready
426	around
421	we'll
421	sweetie
399	him
396	he's
389	time
386	going
380	if
378	play
376	oops
376	at
376	his
374	maggie
367	eat
366	who
357	water
357	something
356	turn
348	away
347	book
344	nose
340	give
335	hello
335	when
334	hold
332	big
330	feet
330	by
329	i'll
327	peekaboo
322	lay
317	xavier
315	morgan
312	way
310	byebye
306	these
302	or
302	was
298	stuff
294	watch
293	today
289	honey
287	three
284	moo
283	day
281	would
278	ty
276	pooh
275	really
271	outside
266	man
266	thing
265	k
263	daddy
259	doing
259	bunny
257	please
252	mandy
251	yay
249	try
245	who's
243	gonna
240	nice
239	because
238	boom
236	another
235	better
235	then
230	does
226	will
224	isn't
222	clean
216	meow
216	throw
215	from
208	wait
208	very
205	shoes
205	move
203	goes
201	pretty
201	girl
199	juice
199	people
199	purr
194	sweetheart
194	may
194	make
192	alex
189	silly
188	sit
181	can't
179	stand
179	wash
178	has
178	boo
178	doggie
176	done
175	chew
174	eating
173	ya
173	our
172	food
172	push
172	together
171	foot
171	wow
169	first
169	tell
168	leave
167	head
166	getting
166	brooklyn
165	yellow
165	through
162	didn't
161	mooshas
160	bear
160	whoops
160	blue
159	under
158	walk
157	were
155	morgie
155	still
154	hot
151	close
151	help
150	mister
150	hands
149	which
149	wanna
148	any
147	bite
146	roll
145	dada
143	says
142	green
142	sing
141	drink
141	mouth
140	funny
139	think
138	cold
138	yep
137	elmo
135	keep
134	went
134	babies
132	she's
132	had
131	trying
131	low
131	dye
131	tired
130	excuse
129	things
128	uhhuh
127	bring
127	microphone
126	fur
126	clap
126	feel
125	mom
124	pull
123	five
122	love
122	even
121	tyrese
120	gotta
120	aren't
119	cheese
119	as
118	hand
118	face
117	should
116	you'll
116	cookie
116	almost
116	alone
116	side
116	sure
116	belly
116	could
116	though
115	doesn't
114	oop
114	pick
114	need
113	yourself
111	careful
111	fun
111	bottle
111	house
109	fish
108	chicken
107	tabitha
107	sweet
107	shirt
107	long
107	dog
107	kisses
106	ring
106	find
105	coming
104	milk
104	sir
104	toys
104	teeth
104	books
103	hair
103	new
103	wet
102	yet
102	home
102	orange
101	fall
101	only
101	pants
101	tim
101	enough
101	nothing
101	hard
99	sleepy
98	hurt
98	toy
97	door
96	hang
94	said
94	uhuh
94	stay
93	us
93	shoe
93	tickle
92	you've
91	anything
91	god
91	happy
91	hat
91	everything
90	inside
89	keys
89	cup
88	dry
87	mama's
87	clothes
87	eight
87	left
86	balloon
86	fell
85	fat
85	work
85	next
85	kinda
85	chair
84	while
83	baa
83	old
83	stir
82	bird
81	six
81	light
81	other
80	diaper
79	bread
79	sorry
79	basket
79	march
79	room
79	allen
79	kiss
79	timmy's
79	night
78	blow
78	bed
78	moosh
78	apple
78	already
77	dinner
77	show
77	seven
77	socks
77	walking
76	cow
76	looks
76	heavy
75	bah
75	daddy's
75	box
75	came
75	toe
75	stinky
74	sitting
74	snap
74	probably
74	looking
73	made
73	nope
73	neigh
72	applesauce
72	car
72	da
72	bar
71	downstairs
71	apart
71	jump
70	alexander
70	eyes
70	great
70	cat
69	making
69	fit
69	hungry
69	elephant
68	morgan's
68	such
67	ten
67	talking
67	upstairs
66	real
66	until
66	hit
65	ouch
65	behind
65	tigger
65	brush
65	anymore
65	finish
65	run
65	piggy
65	always
64	guess
64	wipe
64	dear
64	vas
63	mean
63	ew
63	mess
63	ahead
63	lots
62	moomooshas
62	button
62	taste
62	jesus
62	whoop
62	shake
62	peas
62	much
61	nine
61	circle
61	triangle
60	blocks
60	won't
60	soft
60	phone
60	fine
59	cool
59	piggies
59	spoon
59	fingers
58	gone
58	tree
58	lunch
58	smell
58	comes
57	along
57	it'll
57	change
56	balloons
56	bubbles
56	noise
56	flower
56	doodle
56	brisco
56	yuck
56	piglet
56	sound
56	fly
56	gee
55	ray
55	fussing
55	thirsty
55	bad
55	putting
55	sun
54	cut
54	supposed
54	told
54	slow
53	stick
53	remember
53	morning
53	pop
53	self
53	found
53	m
52	else
52	knees
52	king
52	puppy
52	page
51	ear
51	ah
51	toes
51	catch
50	number
50	morgie's
50	use
50	buckle
50	touch
50	shut
50	took
50	mickey
49	warm
49	wants
49	goodness
49	been
48	full
48	tonight
48	piece
48	mandy's
48	ann
48	paper
47	booboo
47	black
47	part
47	tasty
47	we've
47	peaches
46	upside
46	jacob
46	different
46	sees
45	hug
45	grow
45	coffee
45	soon
45	talk
45	kind
44	last
44	cock
44	press
44	clifford
43	tail
43	mail
43	sock
43	song
43	calm
43	cookies
42	duck
42	game
42	bath
42	color
42	rabbit
42	fix
42	jay
41	thought
41	pat
41	bake
41	cute
41	ma
41	easy
41	lie
41	loves
41	dough
40	faye
40	colors
40	wrong
40	bouncing
40	listen
40	moomoo
39	bag
39	pear
39	breakfast
39	crazy
39	wonder
39	call
38	minutes
38	picture
38	fast
38	must
38	boneen
37	whole
37	doggies
37	telephone
37	square
37	n
37	whisper
37	bib
37	music
36	pie
36	bum
36	kitty's
36	baker's
36	name
36	makes
36	knock
36	comb
36	flowers
36	mine
36	pieces
36	zip
36	noodles
36	carrots
36	l
36	purple
35	cleaning
35	care
35	sometimes
35	wonderful
35	pot
35	byebyes
35	quite
35	v
35	stuck
35	double
35	dad
35	swing
35	horse
34	might
34	bless
34	than
34	cry
34	wasn't
34	floor
34	yum
34	set
34	leg
34	telling
34	fuzzy
34	sleep
34	round
34	ouchie
33	cracker
33	how's
33	bigger
33	tongue
33	mittens
33	apples
33	waving
33	feed
33	bo
32	finished
32	top
32	bowl
32	easter
32	o'clock
32	dishes
32	choochoo
31	peanut
31	place
31	scoop
31	climb
31	egg
31	quit
31	far
31	running
31	truck
30	la
30	both
30	check
30	wave
30	daisy
30	pay
30	mother
30	dance
30	mooshaboosh
30	yours
29	i've
29	wide
29	paul
29	quiet
29	sleeping
29	moving
29	crackers
29	block
29	hiding
29	build
29	gave
29	sheep
29	watching
29	busy
29	job
29	kittens
28	once
28	washcloth
28	called
28	sick
28	ears
28	falling
28	washing
28	lettuce
28	reading
28	bounce
28	eggs
28	bang
28	medicine
28	stairs
27	recording
27	lotion
27	i'd
27	bit
27	having
27	pictures
27	bubble
27	since
27	pack
27	shall
27	closed
27	cupcake
26	bunnies
26	white
26	bert
26	half
26	neat
26	window
26	praise
26	nah
26	balls
26	arm
26	squash
25	above
25	start
25	finger
25	buzz
25	miss
25	messing
25	rest
25	needs
25	tape
25	star
25	washed
25	bananas
25	eyeore
25	most
25	pulling
25	asleep
25	x
25	mow
24	giving
24	he'll
24	end
24	trees
24	step
24	able
24	peg
24	mark
24	saw
24	straw
24	row
24	leaving
24	bam
24	ride
24	kick
24	word
24	hammer
24	nap
24	raisins
23	feeling
23	table
23	understand
23	teethies
23	potato
23	cough
23	lot
23	maggie's
23	cake
23	pudding
23	dump
23	thanks
23	henry's
23	grass
23	rye
23	yumyum
23	pears
23	loud
23	poor
23	am
22	lost
22	used
22	holding
22	nasty
22	backwards
22	crawl
22	babe
22	brown
22	snow
22	chips
22	crayons
22	berries
22	zipper
22	dropped
22	s
22	rub
22	birthday
22	soap
22	lid
22	adam
21	leaves
21	lord
21	airplane
21	mad
21	allowed
21	hen
21	donald
21	drop
21	break
21	fittis
21	birds
21	bike
20	standing
20	fits
20	jumping
20	reach
20	faces
20	likes
20	excited
20	amen
20	balooga
20	bay
20	towel
20	roo
20	slide
19	instead
19	caught
19	jacket
19	rolling
19	puzzle
19	ha
19	rejoice
19	teacher
19	carrot
19	bus
19	stink
19	joy
19	me's
19	missing
19	trash
19	sounds
19	forward
19	sweeters
18	mix
18	umbrella
18	fruit
18	pan
18	upset
18	hide
18	win
18	aw
18	cheeto
18	spit
18	pig
18	coat
18	you'd
18	believe
18	across
18	outfit
17	frog
17	base
17	pour
17	sad
17	feels
17	yogurt
17	baebae
17	rice
17	without
17	pink
17	attention
17	listening
17	ones
17	rough
17	walker
17	heart
17	glasses
17	dillon's
17	underneath
17	mom's
17	splash
17	track
17	rock
17	wake
16	small
16	fill
16	none
16	bean
16	smart
16	gets
16	ho
16	rain
16	jack
16	dat
16	point
16	bears
16	quick
16	raisin
16	bing
16	service
16	bucket
16	reason
16	wanted
16	second
16	rainbow
15	opened
15	control
15	yuckies
15	leaf
15	washer
