Freq	Type
5395	oh
4026	here
3474	a
3425	i
3307	and
3123	yeah
2965	you
2656	all
2579	what
2465	okay
2456	are
2405	up
2197	aw
2142	no
2016	ew
1963	huh
1853	that
1805	it
1801	me
1794	ah
1768	that's
1716	see
1646	i'm
1614	go
1612	let's
1577	your
1538	more
1492	the
1467	right
1419	for
1391	or
1352	good
1345	come
1328	on
1246	be
1241	one
1214	out
1210	down
1202	mommy
1183	we
1154	it's
1115	there
1085	say
1053	uhoh
1023	this
971	hen
954	to
918	baby
902	look
897	rye
890	back
876	little
868	yes
848	boy
837	op
831	just
797	what's
794	hi
775	of
775	way
775	l
764	don't
709	moo
703	in
702	my
683	hey
678	i'd
672	with
657	how
637	off
630	where
618	by
618	who
616	i'll
603	hand
585	purr
583	get
576	big
554	is
554	book
538	have
523	girl
516	thing
513	he
509	oops
508	ready
500	we'll
486	can
483	air
481	why
474	ball
474	ice
472	head
466	lee
461	well
459	some
447	do
445	so
432	d
421	shoe
420	let
420	pee
419	water
414	ease
409	mama
405	icy
402	feet
396	play
393	gonna
390	man
375	read
369	hell
369	boom
361	juice
357	kitty
351	phone
344	her
344	eat
339	at
328	did
324	three
321	dillon
314	hair
306	mommy's
298	old
288	bear
285	his
284	tickle
283	but
281	peekaboo
280	stir
280	around
276	them
276	honey
274	think
271	ann
270	eight
266	she
258	sit
258	nose
256	like
253	“bah
253	chair
253	gee
246	ho
245	should
245	hold
241	oink
240	bird
239	k
238	chew
234	bunny
231	own
230	put
220	our
220	aim
214	feel
210	sweetie
206	t
200	better
200	s
200	please
198	pooh
197	n
197	hat
197	really
196	house
191	cheese
190	boo
189	there's
188	ring
187	walk
184	key
184	done
181	where's
180	will
179	want
177	going
177	first
176	he's
175	shirt
172	bit
171	very
171	green
170	belly
167	chicken
167	mandy
165	find
164	fun
163	yellow
162	funny
160	sweet
160	got
160	low
157	pattycake
157	clean
152	stairs
150	turn
150	oopsie
147	goes
147	bite
145	then
145	you'll
145	whole
141	m
140	any
138	yeh
137	bottle
135	tell
134	fur
132	mom
129	can't
129	beak
129	fall
129	fingers
129	getting
128	cheery
126	cup
126	end
126	pretty
124	leap
124	still
123	bar
119	pig
118	lemme
113	people
112	pull
112	white
112	mean
111	when
110	finger
110	use
110	wanna
109	close
105	bless
105	hurt
105	piggy
104	uppie
104	maybe
104	pants
103	bean
101	fly
100	real
99	window
99	box
98	us
98	ear
98	rest
98	books
97	looks
95	gotta
95	beep
95	went
95	animal
92	babies
92	jesus
89	wet
89	wait
89	show
88	doing
88	again
88	oop
88	pick
88	able
86	bake
85	ride
