Freq	Type
11283	you
5576	a
4561	oh
4388	and
4258	the
3661	that
3475	here
3439	i
3272	yeah
3080	what
3010	no
2955	okay
2755	your
2735	it
2684	go
2656	to
2239	say
2217	mommy
2146	see
2142	we
2126	this
1928	up
1877	all
1871	one
1814	little
1754	is
1692	that's
1654	can
1646	there
1630	huh
1575	don't
1553	do
1518	baby
1462	too
1385	for
1369	it's
1364	wanna
1352	my
1297	be
1283	look
1276	me
1234	good
1226	in
1196	on
1190	get
1171	uhoh
1129	some
1109	now
1106	back
1098	so
1097	not
1092	out
1052	down
1048	he
1018	have
1011	just
1000	way
997	want
949	kitty
908	henry
907	gonna
882	yes
881	doing
857	hi
835	book
822	ball
808	big
797	more
753	let's
739	eat
736	come
705	them
689	hey
673	got
668	going
667	ready
642	gotta
628	put
617	think
613	like
613	off
608	where's
605	i'm
604	water
586	right
586	mommy's
572	they
569	play
562	alright
560	day
551	sweetie
543	boy
543	well
533	was
531	with
525	pee
523	read
520	his
515	knee
509	mama
490	where
487	nose
486	dillon
486	her
481	of
480	head
480	can't
479	stop
472	what's
465	those
463	but
463	lee
462	she
461	him
457	girl
449	these
446	are
442	maggie
440	did
437	how
436	there's
436	mouth
433	whoa
422	icy
421	by
414	feet
414	t
404	over
387	byebye
386	hello
376	oops
376	moo
375	bout
372	d
366	bunny
363	juice
358	he's
348	getting
348	peekaboo
342	very
342	bear
339	nice
333	pretty
332	really
330	outside
328	daddy
326	three
322	thing
318	stuff
315	hair
315	morgan
313	xavier
313	done
311	doggie
310	pooh
309	other
307	i'll
305	hand
304	take
301	we'll
297	still
296	yummy
292	honey
291	at
289	lemme
285	try
280	hands
278	ty
277	walk
269	why
269	didn't
267	chair
267	or
259	then
256	something
254	door
254	man
252	better
252	cat
252	ya
251	mandy
250	careful
248	yellow
248	will
247	toy
247	silly
246	foot
242	time
240	much
240	drink
238	who
238	piggy
238	boom
238	clean
237	goes
237	shoes
235	bite
234	cheese
233	please
232	new
232	timmy
227	around
225	diaper
223	gimme
221	spoon
217	kiss
217	find
214	could
212	cake
212	side
211	any
209	hold
207	face
206	bottle
206	love
204	gone
204	belly
202	says
201	people
201	milk
201	first
200	car
200	patty
200	blue
200	minute
198	watch
197	turn
197	hot
195	house
195	alex
193	cookie
193	funny
193	pie
193	doesn't
191	our
189	were
189	food
188	cup
188	bed
187	floor
186	dirty
186	sweetheart
185	mkay
184	toes
183	babies
183	does
183	ma
183	from
182	dog
181	toys
180	playing
180	mister
178	give
177	happy
175	bird
172	need
171	books
170	said
168	sleepy
168	night
168	mom
167	make
167	cold
166	wash
166	things
166	green
166	wow
166	brooklyn
164	cow
164	key
162	morgie
162	eating
161	shirt
161	job
160	phone
160	under
159	fun
157	teeth
155	has
154	maybe
154	elmo
154	keep
153	shoe
153	long
152	mooshas
152	hat
151	if
150	sweet
150	five
150	fish
148	coming
148	finger
146	page
146	bouncie
146	bit
145	box
144	most
144	work
143	dada
142	whoops
142	horsie
140	chicken
139	here's
139	yay
138	sit
138	yep
137	tabitha
137	help
137	even
137	fingers
134	sure
133	bad
132	throw
132	though
132	room
132	went
132	duck
131	pants
131	microphone
131	mean
130	banana
130	yaya
130	tired
130	hungry
130	push
130	boo
129	move
129	feel
129	cheery
129	part
129	home
128	uhhuh
128	whole
126	puppy
125	yourself
125	window
125	kinda
125	old
124	had
124	sleep
124	wet
123	end
122	purr
122	who's
122	low
121	upstairs
121	pull
121	noise
121	tyrese
120	fall
