Freq	Type
19259	you
8086	oh
6014	are
5257	no
4535	and
4420	it
4386	go
4339	me
4115	here
3722	we
3652	do
3568	that
3445	in
3399	to
3346	is
3309	i
3226	yeah
3135	air
3078	ma
2943	see
2895	up
2832	all
2821	your
2742	k
2502	dough
2343	the
2272	this
2260	ew
2127	on
2116	ease
2102	can
2010	rye
1927	have
1884	l
1839	at
1784	say
1772	good
1664	like
1653	it's
1565	huh
1564	for
1513	what
1392	look
1390	my
1383	now
1370	or
1270	nah
1202	with
1175	i'm
1133	of
1091	m
1078	read
1058	lay
1053	t
1031	how
981	a
954	cat
924	oop
877	way
872	hi
871	be
852	boy
848	one
845	there
837	so
836	hen
822	ink
817	gonna
811	it'll
798	more
787	some
780	babe
769	take
756	yeh
748	over
735	there's
724	too
723	come
715	lee
698	off
697	ray
681	by
678	they
677	me's
667	try
667	play
662	own
651	old
650	back
638	little
629	ty
626	wanna
618	want
613	okay
571	where
569	ago
566	did
564	book
554	well
543	ann
542	can't
541	why
535	them
532	was
530	eat
526	here's
507	stop
504	if
503	down
492	get
492	purr
475	mom
469	nose
457	ubb's
454	d
450	hand
432	we'll
429	mag
424	i'd
423	tell
421	hey
418	need
418	toy
415	does
410	wash
398	row
392	ring
390	stir
389	mouth
387	head
385	let
383	time
382	her
377	make
372	baby
372	done
369	man
368	lie
358	low
342	not
339	yes
335	his
334	were
333	watch
331	him
330	op
329	mama
327	big
325	cup
310	stairs
304	hair
302	stuff
295	da
284	knee
282	love
276	help
272	use
269	self
268	push
267	leap
260	he
256	thing
247	will
247	ear
247	pee
245	“i'll
244	still
243	other
238	really
234	cake
232	day
232	s
230	itty
228	kit
228	teeth
226	goes
222	out
218	meow
215	leave
215	under
203	away
200	side
199	uhoh
194	key
185	kitty
183	age
180	very
180	arm
179	fall
178	then
176	wrong
171	who
169	sit
168	ball
167	ready
159	wow
157	end
155	i'll
153	leg
151	tim
148	yum
147	may
147	fur
146	which
146	nap
144	bit
144	n
143	dye
142	much
140	right
140	saw
139	aim
138	car
133	peep
131	room
129	yummy
129	tall
129	got
126	nope
125	you'll
123	better
123	beak
122	hat
121	round
121	roll
121	said
121	egg
120	you've
118	any
117	nice
117	five
116	books
115	please
113	cow
112	bear
111	window
110	weak
109	less
108	has
107	yay
106	beep
105	moosh
105	toes
104	toe
103	eating
103	should
102	ride
102	hang
101	looks
100	mall
99	touch
98	sir
98	close
98	lunch
98	could
98	such
97	wreath
95	“bah
