Freq	Type
3045	you
2932	yeah
2913	okay
2491	oh
2336	here
2085	it
1942	what
1910	no
1585	there
1534	huh
1374	that's
1333	and
1112	uhoh
1074	can
1066	that
1058	say
976	mommy
944	it's
936	now
904	see
901	baby
851	up
828	yes
795	henry
793	where's
784	do
784	we
780	look
758	me
736	i'm
671	hi
646	are
617	one
589	there's
568	hey
563	go
522	alright
519	where
514	on
507	did
478	well
478	i
473	kitty
469	too
458	again
452	about
449	ready
439	put
433	let's
418	dillon
417	sweetie
410	here's
400	whoa
398	icy
396	open
377	what's
373	byebye
373	this
370	mama
360	how
358	hello
355	oops
353	maggie
352	little
327	stop
326	gonna
315	peekaboo
314	tickle
308	xavier
306	over
306	going
299	morgan
298	want
290	mommy's
288	but
282	good
281	away
281	outside
278	why
272	he's
271	is
269	around
261	honey
255	don't
250	goodness
247	water
244	today
238	down
237	boy
235	just
233	for
232	out
230	get
227	mandy
223	doing
221	the
220	right
219	let
217	something
213	in
212	meow
211	my
210	bunny
207	getting
204	because
203	boom
201	so
199	who
190	daddy
186	really
184	not
182	mkay
179	better
178	he
177	all
176	would
176	got
174	three
174	alex
174	who's
172	moo
172	we'll
172	yay
167	they
165	if
163	brooklyn
163	ty
160	sweetheart
158	whoops
158	turn
157	a
157	be
152	book
151	mooshas
149	silly
148	lemme
148	take
147	t
146	wow
145	doggie
143	together
141	back
139	wait
138	ball
137	watch
134	off
133	yep
132	dada
131	wanna
130	timmy
127	uhhuh
126	morgie
125	come
125	more
124	dirty
122	gimme
120	i'll
118	eating
118	funny
117	tyrese
115	give
114	mister
113	elmo
111	then
111	maybe
110	or
108	careful
107	under
106	eat
106	when
102	tired
102	coming
102	downstairs
101	people
99	yummy
99	pretty
99	oopsie
98	before
97	enough
96	push
93	nose
92	very
91	kisses
91	uhuh
91	mama's
91	any
89	she
89	try
88	does
88	trying
88	yourself
87	banana
85	please
83	hold
82	yellow
81	babies
81	close
81	she's
80	chicken
80	inside
78	even
78	isn't
78	gotta
78	move
77	sleepy
77	almost
77	baa
76	clap
76	hungry
76	allen
75	belly
74	diaper
74	moomooshas
73	into
73	big
72	supposed
72	roll
71	your
71	horsie
71	our
71	nope
71	nana
70	lee
69	making
69	sorry
68	mirror
68	those
68	will
67	think
67	bottle
67	everything
67	everywhere
67	pull
67	five
66	knee
66	them
66	read
65	pee
65	like
65	alexander
64	later
64	march
64	microphone
64	chew
63	alone
63	some
62	pooh
62	heavy
62	cookie
62	tell
62	leave
62	walking
61	dakota
61	by
61	nothing
60	circle
60	balloon
60	with
60	ahead
59	ouch
