Freq	Type
20595	you
5815	it
5705	are
5333	oh
5119	go
5074	the
4888	that
4591	me
4513	and
4426	what
4153	your
3744	we
3730	do
3623	a
3511	no
3501	on
3412	is
3247	yeah
3227	there
3129	to
3068	ma
2994	come
2883	up
2871	get
2819	all
2771	in
2652	see
2551	at
2468	i
2312	put
2295	can
2254	that's
2221	this
2154	one
2065	here
2028	out
2005	look
2003	good
2000	gonna
1984	for
1982	l
1896	where
1804	huh
1770	be
1694	right
1682	let's
1661	i'm
1644	don't
1639	more
1518	i'd
1497	with
1497	or
1494	it's
1475	down
1472	like
1444	wanna
1417	pee
1367	want
1344	lee
1324	say
1319	ease
1284	ew
1133	play
1124	my
1119	s
1105	uhoh
1088	baby
1076	got
1062	read
1046	little
1035	what's
1017	he
954	eat
944	hen
912	own
911	air
909	of
908	some
898	how
847	them
845	way
823	boy
779	now
778	not
773	kit
728	okay
722	have
716	it'll
698	op
684	let
676	off
667	can't
655	book
651	girl
631	where's
628	i'll
614	rye
612	me's
607	she
605	well
602	big
593	so
586	gotta
581	other
557	but
553	did
542	hand
534	mama
532	we'll
521	oops
518	over
505	known
504	moo
491	use
489	sweet
486	ball
468	ice
464	d
463	why
462	they
458	boo
455	eight
444	feet
436	man
433	who
425	icy
418	shoe
416	around
415	old
409	hey
399	back
398	thing
394	t
382	hi
364	phone
357	very
356	then
356	bear
356	his
351	sit
349	“bah
338	done
338	hair
337	chew
331	need
321	cup
317	find
311	her
306	will
298	foot
298	ann
296	gee
296	here's
292	n
291	wheat
291	ah
289	ear
288	k
288	when
286	fun
285	few
279	make
278	getting
272	chair
267	da
266	any
258	end
250	mom
247	bet
246	purr
244	oink
244	should
241	by
235	bird
232	lemme
228	try
226	ring
223	pat
220	our
216	pick
216	knee
216	still
213	help
208	cheese
208	aim
207	too
205	whole
200	bite
194	hold
193	him
192	bit
191	fall
188	stir
188	fur
187	first
185	feel
183	kitty
183	low
183	pooh
182	view
181	open
177	three
176	turn
175	you'd
172	you'll
171	oopsie
171	shirt
171	push
169	face
165	lay
165	goes
164	ale
164	was
164	throw
160	ho
160	beak
159	tell
158	hat
152	jeez
151	ink
151	shake
149	bell
149	pig
148	fat
148	yum
147	hell
147	head
145	run
144	key
143	hurt
143	there's
141	bottle
141	wet
141	wind
140	bring
139	clean
137	clap
137	yeh
134	ride
134	yummy
134	m
133	cat
131	might
130	ty
128	uhhuh
128	oop
128	hit
127	night
126	ready
125	bar
124	room
124	roll
123	pull
122	cheery
122	looks
119	fit
119	silly
117	car
117	wrong
116	ouch
115	wait
115	food
114	may
114	walk
111	green
110	ought
109	guess
108	those
107	rays
106	water
104	pants
103	she's
102	sing
102	boom
101	fly
100	nose
99	juice
98	rain
97	piece
96	us
96	drink
95	apple
95	lean
94	pit
92	blow
92	fuzz
91	hot
91	spoon
91	yes
90	ouchie
90	eating
90	mine
90	pretty
89	lie
89	bed
89	late
89	show
89	bean
89	v
87	bake
87	mike
87	wash
86	full
85	had
84	pin
84	fell
83	bunny
83	ever
82	real
82	came
81	stuff
81	putting
81	eyes
81	rest
80	shut
80	hands
80	meat
79	hours
79	stay
79	else
78	wipe
73	weak
73	sure
72	knock
72	yellow
72	arm
71	while
71	add
71	pop
70	mean
69	lit
69	close
68	hard
68	better
68	climb
67	white
67	la
67	light
67	he's
65	hang
65	pay
65	does
64	ups
64	jacob
64	fine
64	honey
64	gets
64	daddy
64	jay
63	favor
63	finger
63	watch
63	because
62	been
61	rattle
61	wonder
61	wore
61	cake
61	beat
61	time
61	likes
60	mandy
60	beep
59	cut
59	funny
59	babies
59	take
59	nice
59	mice
58	lied
58	pup
58	love
57	sitting
57	yet
56	hide
56	cook
56	booboo
56	dude
56	bum
55	york
55	jump
55	fussing
55	joy
55	dear
54	wants
54	ants
54	stick
54	fin
54	pink
53	goal
53	dry
51	belly
51	babe
51	eggs
51	aid
51	gentle
50	mall
50	king
49	pump
49	thirst
49	bike
49	early
48	nope
48	gold
48	shine
47	must
47	egg
47	books
46	kinda
46	ain't
46	dye
46	hope
45	makes
45	care
45	soak
45	leap
45	eddie
45	sell
45	ten
45	keep
45	hop
44	onie
44	wide
43	“i'll
43	heard
42	idea
42	aunt
41	fits
40	dum
40	share
40	much
40	day
40	if
40	row
40	meal
40	under
40	quite
39	teddy
39	shoes
39	dump
39	hug
39	bead
38	straw
38	yell
38	knees
38	sweetie
37	raisin
37	than
37	moomoo
37	house
37	xavier
37	judy
36	daddy's
36	winnie
36	bat
36	peter
36	build
36	emmy
36	who's
35	fish
35	press
35	bang
35	neat
35	tweet
34	cow
34	x
34	many
34	bag
33	truck
33	mouth
33	cry
33	bert
33	bless
33	thought
33	wall
33	clink
32	maybe
32	wake
32	poopie
32	bo
32	kiss
32	could
31	again
31	fill
31	dog
31	long
31	bad
31	dirt
31	fig
31	things
31	fussy
31	keys
30	easter
30	ran
30	lots
30	move
30	earned
30	oven
30	heat
30	won't
29	though
29	fan
29	plane
29	home
29	zip
29	joe
29	itsy
29	lamb
28	turtle
28	puppy
28	chick
28	rose
28	kitten
28	were
28	once
28	writes
28	ounce
28	ago
27	wrap
27	today
27	fuss
27	pot
27	don
26	ding
26	mad
26	pear
26	puzzle
26	miss
26	butter
26	bay
26	he'll
26	shall
26	deep
26	job
26	played
25	sheep
25	flow
25	chin
25	batter
25	mag
25	sorry
25	far
25	warm
25	puts
25	mickey
25	ha
24	adam
24	gots
24	icky
24	milk
24	paper
24	kick
24	ham
24	bump
24	five
24	nah
24	call
24	as
24	made
24	yucky
23	cute
23	place
23	looked
23	kid
23	away
23	god
23	ubb's
23	blue
