Freq	Type
7017	you
3203	oh
2869	yeah
2804	okay
2076	no
1888	here
1500	what
1416	huh
1410	i
1372	mommy
1243	and
1211	go
1200	say
1143	baby
1135	uhoh
1085	that
1069	little
1012	it
993	wanna
918	up
904	gonna
903	see
862	look
790	one
753	doing
746	henry
738	that's
734	kitty
708	the
701	there
591	yes
565	it's
560	ball
557	we
554	now
549	good
538	going
535	hi
531	too
515	gotta
507	book
496	this
493	me
488	alright
485	sweetie
472	water
465	mommy's
462	ready
450	a
440	hey
430	out
393	boy
393	down
370	do
362	let's
360	whoa
359	dillon
351	mama
351	maggie
348	lemme
346	again
345	back
340	hello
339	oops
338	very
327	peekaboo
313	on
312	girl
301	don't
298	tickle
293	way
292	really
288	mouth
287	pretty
286	nose
284	yummy
283	off
283	xavier
281	bunny
278	head
272	icy
269	stop
269	other
266	doggie
261	byebye
259	right
253	morgan
250	daddy
244	honey
240	is
237	more
237	moo
236	getting
230	silly
230	piggy
227	boom
222	he
219	for
218	mandy
218	juice
211	in
211	something
209	outside
202	yellow
201	want
196	eat
194	hair
192	bear
192	better
188	minute
188	gimme
184	well
182	my
182	i'm
179	cake
178	diaper
176	mkay
176	bottle
172	any
172	belly
171	mister
169	patty
168	day
167	dirty
166	cookie
166	pie
165	timmy
164	brooklyn
163	over
163	them
163	door
163	sweetheart
160	funny
160	ty
159	happy
159	hand
158	three
158	people
158	alex
156	chair
156	phone
155	around
154	him
151	cat
147	sleepy
146	come
145	hands
143	toes
143	play
143	spoon
142	mooshas
142	bouncie
141	today
141	horsie
141	pee
141	car
140	all
140	so
140	babies
139	pooh
138	whoops
138	ya
137	cheese
137	chicken
134	kiss
134	looking
133	there's
133	morgie
132	elmo
132	wow
132	floor
131	please
130	face
129	where's
128	toy
127	our
125	uhhuh
124	milk
123	feet
122	yep
122	microphone
121	drink
121	maybe
120	foot
120	cup
118	apple
118	stuff
118	window
118	puppy
116	can
116	banana
116	cow
114	tired
114	thing
114	tyrese
113	house
112	open
112	time
112	playing
112	yaya
111	bite
111	shoes
111	teeth
110	basket
110	page
110	careful
110	bed
108	did
107	kinda
105	dada
105	walk
105	box
105	hot
104	they
103	oopsie
103	finger
103	upstairs
103	dog
102	man
101	cold
101	nice
101	yay
101	away
99	matter
99	your
98	orange
98	mom
97	what's
96	fish
95	downstairs
95	but
94	where
93	big
93	fingers
92	later
92	be
91	dakota
91	hungry
90	shoe
90	spider
90	eating
90	teddy
90	fun
89	moosh
88	watch
88	baa
88	circle
88	meow
85	tim
85	another
85	kisses
85	room
85	food
84	rabbit
84	almost
84	duck
83	mirror
83	hat
83	sleep
83	seven
82	second
82	daddy's
81	five
81	leg
81	coming
80	fuzzy
80	sorry
79	knee
79	read
79	flowers
79	just
78	cheery
78	toys
77	bath
77	bird
77	mickey
77	some
77	balloon
77	bit
76	tree
76	poopie
76	nana
74	stinky
74	done
74	though
72	books
72	noise
72	under
72	saying
72	bread
71	because
71	number
70	help
70	story
70	bowl
70	allen
70	tasty
70	being
69	blankie
69	button
69	got
68	together
68	yourself
68	zipper
68	shirt
68	these
68	march
68	alexander
67	lee
66	jump
66	bout
66	her
66	eyes
66	flower
66	wait
65	moomooshas
65	ring
65	think
65	she
65	green
64	ear
64	paper
64	mess
64	only
64	by
64	close
63	heavy
63	bus
63	are
62	thirsty
62	birthday
62	bib
62	those
62	first
61	part
61	even
61	vas
61	everything
61	truck
61	bag
61	mail
60	boo
60	pants
60	timmy's
59	mean
59	else
58	somebody
57	about
57	night
57	dinner
57	wet
56	w
56	ouch
56	dear
56	goes
55	sauce
55	finish
55	turtle
55	not
55	walking
55	put
55	yet
54	light
54	blocks
54	nothing
54	clean
54	rattle
53	toe
53	block
53	whoopsie
53	six
53	yucky
53	things
53	yuck
53	already
53	arm
52	blue
52	body
52	clothes
52	love
52	here's
52	sock
52	lion
52	tongue
52	rooster
52	have
51	table
51	lunch
51	work
51	wonderful
51	remember
51	finished
51	song
50	never
50	monster
50	turnaround
50	said
50	nap
50	tigger
49	breakfast
49	goodness
49	nope
49	birdie
49	clock
49	find
49	inside
49	elephant
49	brisco
49	tummy
48	side
48	picture
48	game
47	neigh
47	try
47	after
47	sun
47	bad
47	yours
47	move
47	peter
47	mouse
46	ernie
46	town
46	pot
46	gone
46	everywhere
46	jesus
45	dollie
45	cracker
45	like
45	much
45	mother
45	balloons
45	fussing
45	rain
44	children
44	square
44	money
44	choochoo
44	piggies
43	stairs
43	airplane
43	monkey
43	baba
43	top
43	stick
43	socks
43	then
43	piglet
42	purple
42	lady
42	cute
42	fall
41	jacob
41	hurt
41	duckie
41	making
41	home
41	farmer
41	wonder
41	running
41	horse
41	into
41	before
41	triangle
41	music
41	doggies
40	cool
40	sitting
40	stuck
40	hug
40	turn
40	couch
40	whole
40	coffee
40	either
40	get
40	bubbles
40	trees
40	weensie
40	to
40	happened
40	diapie
40	moomoo
39	eight
39	booboo
39	who
39	booty
39	name
39	push
39	piece
39	egg
39	bike
39	us
38	rolling
38	holdup
38	snap
38	crazy
38	bucket
38	how
37	ew
37	barn
37	throwing
37	butter
37	soft
37	nine
37	probably
37	puzzle
37	favorite
37	pumpkin
36	swing
36	towel
36	keys
36	eensie
36	babe
36	gentle
36	ears
36	putting
36	why
35	peaches
35	twenty
35	blanket
35	cookies
35	falling
35	woody
35	mine
35	boneen
35	tootsies
35	buckle
35	kitchen
35	tail
34	paul
34	sweet
34	crying
34	noodles
34	clap
34	sure
34	dry
34	says
33	color
33	will
33	carrots
33	sing
33	blowing
33	computer
33	mad
33	easter
32	umbrella
32	scratchy
32	long
32	he's
32	quiet
32	froggie
32	morning
32	different
31	tray
31	fly
31	memee
31	while
31	grass
31	daisy
31	clifford
31	singing
30	goldfish
30	pears
30	doll
30	baseball
30	snack
30	goodbye
30	rock
30	slide
30	great
30	fine
30	talking
30	leaf
30	glasses
30	at
30	full
29	mooshaboosh
29	changed
29	yumyum
29	yum
29	ten
29	tractor
29	uncle
29	morgan's
28	empty
28	hard
28	ride
28	sky
28	mandy's
28	santa
28	world
28	bunnies
28	idea
28	wide
28	handsome
28	cry
28	ground
28	stroller
27	scoop
27	drinking
27	yogurt
27	ever
27	chickie
27	through
27	cart
27	peg
27	still
27	bouncing
27	standing
27	rainbow
27	tub
27	god
27	stink
27	shut
27	anything
27	sheep
27	beautiful
27	legs
27	warm
27	judy
27	colors
27	actually
27	dishes
27	messy
27	binkie
27	loud
27	kitty's
26	tabitha
26	hiding
26	bat
26	many
26	fishie
26	grandma
26	pillow
26	busy
26	dressed
26	icky
26	with
26	drawer
26	street
26	early
26	end
26	cutie
26	sammy
26	excited
26	next
26	problem
26	i'll
25	pan
25	buddy
25	pulling
25	fit
25	sit
25	meet
25	joe
25	nummy
25	closet
25	comes
25	taking
25	place
25	wanted
25	pool
25	gate
25	tissue
25	soon
25	byebyes
25	rosy
25	pocket
25	lamb
25	miranda
25	strong
25	understand
24	drum
24	balls
24	drinkie
24	we'll
24	peas
24	fell
24	or
24	smart
24	pear
24	washcloth
24	squirrel
24	market
23	rough
23	lap
23	cannot
23	bottom
23	wall
23	kittens
23	mama's
23	rest
23	lettuce
23	talk
23	sleeping
23	farm
23	white
23	vasie
23	t
23	trash
23	barking
23	squash
23	spout
23	bert
23	closed
23	fur
23	wave
23	dance
23	hood
23	working
23	easy
22	flying
22	star
22	from
22	mootie
22	jumping
22	bean
22	telling
22	pudding
22	bubble
22	thirty
22	rocks
22	girlie
22	sound
22	couple
22	chin
22	peanut
22	bigger
22	pamper
22	tower
22	nasty
22	card
22	hammer
22	bumpy
22	doctor
22	apples
22	seat
22	guy
22	cupcake
21	lotion
21	crayon
21	crawl
21	having
21	somewhere
21	jacket
21	tiny
21	binkies
21	backwards
21	alone
21	maggie's
21	summer
21	snowman
21	minnie
21	broom
21	cough
21	pictures
21	left
21	chips
21	pig
21	tiger
21	neck
21	fire
20	crayons
20	balooga
20	chilly
20	store
20	sister
20	neat
20	row
20	kangaroo
20	pajamas
20	d
20	puppies
20	ma
20	boat
20	party
20	minutes
20	steps
20	am
20	smiling
20	swingie
20	apart
20	letter
20	batter
20	train
20	chewing
20	always
19	tall
19	shiny
19	purr
19	faces
19	pull
19	smile
19	burp
19	fussy
19	rocking
19	has
19	tooth
19	cleaning
19	trying
19	sink
19	sore
19	dancing
19	slipper
19	lookee
19	word
19	round
19	soap
19	fast
19	sunny
19	lid
19	slow
19	fence
19	whisper
18	birds
18	humpty
18	buzz
18	carrot
18	christmas
18	morgie's
18	taste
18	corner
18	crackers
18	raisin
18	coaster
18	terrible
18	pumpkins
18	feeling
18	run
18	cheeto
18	family
18	plate
18	biting
18	walkie
18	plant
18	does
18	willy
18	spaghetti
18	works
17	carry
17	walker
17	sticky
17	giving
17	giraffe
17	laugh
17	turkey
17	exciting
17	owl
17	raisins
17	barney
17	goose
17	listen
17	cakes
17	sweater
17	climbing
17	pieces
17	bounce
17	bone
17	raining
17	melon
17	swimming
17	slippers
17	glass
17	neighbor
17	cover
16	friend
16	bambi
16	rice
16	noodle
16	peepee
16	rabbits
16	sir
16	shaking
16	dumpty
16	hera
16	barbie
16	cheerio
16	splash
16	softly
16	school
16	tweety
16	awful
16	cuddly
16	yuckies
15	brush
15	closer
15	sugar
15	noises
15	need
15	cheerios
15	change
15	care
15	ducks
15	thumb
15	winnie
15	sealie
15	wrong
15	pack
15	rings
15	was
15	andy
15	leaves
15	waving
15	dat
15	tippy
15	horsies
15	joy
15	toilet
15	best
15	babes
15	angel
15	tape
15	coat
14	tough
14	special
14	longer
14	crib
14	poop
14	let
14	squirrels
14	behind
14	feeties
14	pond
14	job
14	daughter
14	fork
14	messing
14	stand
14	sweeters
14	oven
14	hayley
14	wipes
14	tonight
14	abc
14	mittens
14	pop
14	twelve
14	jay
14	crawling
14	slippy
14	pokemon
14	recording
14	bingo
14	purse
14	pointing
14	simba
14	laundry
14	sunshine
13	abcs
13	ticklish
13	found
13	banging
13	sesame
13	handle
13	air
13	cereal
13	ease
13	garden
13	call
13	key
13	throw
13	helping
13	black
13	donkey
13	dad
13	bump
13	carpet
13	lego
13	genie
13	happen
13	can't
13	booboon
13	piano
13	giddyup
13	noisy
13	lord
13	went
13	blow
13	trouble
13	pencil
12	own
12	answer
12	self
12	granddaddy
12	heart
12	moon
12	deep
12	mop
12	made
12	thirteen
12	days
12	fitti
12	called
12	fruit
12	moving
12	new
12	amen
12	catch
12	brown
12	dryer
12	hurry
12	fellow
12	old
12	broken
12	zip
12	wire
12	rejoice
12	moose
12	cows
12	clown
12	helper
12	favor
12	cars
12	hiccups
12	sailboat
12	mind
12	football
12	lot
12	vacuum
12	achoo
12	jaylen
12	real
12	whatever
12	until
12	fuss
12	yard
12	fountain
12	low
12	curtain
12	twinkle
12	fan
12	cranky
12	queekie
12	reach
12	truly
12	spitting
12	indigo
12	shapes
12	stinker
12	pages
12	comb
12	ahhah
12	girla
12	front
12	winky
12	laughing
11	kitten
11	practice
11	sockies
11	field
11	set
11	k
11	squirrelie
11	share
11	lolly
11	bringing
11	give
11	stars
11	shopping
11	string
11	remote
11	thanks
11	merrily
11	mags
11	medicine
11	follow
11	slam
11	flowing
11	woof
11	poopsie
11	slipping
11	it'll
11	father
11	jeremy
11	corn
11	press
11	sweets
11	grocery
11	cards
11	beads
11	pepper
11	waiting
11	donald
11	sick
11	slumber
11	same
11	pattycake
11	driver
11	tinky
11	chip
11	weasel
11	raggedy
11	bitty
10	someone
10	hairie
10	bridge
10	fairy
10	break
10	wipe
10	buttons
10	bonk
10	lit
10	scrumptious
10	kids
10	wash
10	treat
10	bears
10	hugs
10	kid
10	refrigerator
10	koala
10	nails
10	step
10	dirt
10	calling
10	shine
10	holy
10	reading
10	sweatshirt
10	supper
10	bees
10	spot
10	nappie
10	writing
10	keep
10	oatmeal
10	bumpity
10	queeka
10	runny
10	anymore
10	definitely
10	haystack
10	bookie
10	applesauce
10	sticks
10	saw
10	park
10	frog
10	dizzy
10	bags
10	lights
10	eeyore
10	mailbox
10	wolf
10	quack
10	mothers
10	mam
10	reindeer
10	small
10	bother
10	spinning
10	feetsies
10	tell
10	his
10	alligator
10	motor
10	growing
10	candle
9	gus
9	welcome
9	swallow
9	jack
9	weak
9	straight
9	worry
9	tadah
9	sip
9	greedy
9	missing
9	happens
9	papers
9	jungle
9	below
9	waffles
9	wooly
9	wind
9	hopefully
9	oranges
9	gabby
9	crooked
9	milkie
9	learning
9	eggs
9	bible
9	matthew
9	english
9	belt
9	angels
9	asked
9	kick
9	sneeze
9	forget
9	visit
9	sockie
9	upset
9	mary
9	buttsie
9	without
9	spoons
9	knocking
9	gum
9	bicycle
9	teethies
9	decide
9	squeaky
9	jar
9	forgot
9	robin
9	alpha
9	quick
9	dude
9	monkeys
9	roller
9	bushes
9	ice
9	numbers
9	instead
9	bo
9	roof
9	year
9	heat
9	twist
9	sneaky
9	mooshboosh
9	candy
9	whale
9	london
9	holding
9	bookies
8	sunglasses
8	grow
8	ones
8	tags
8	clapping
8	doors
8	started
8	pookie
8	coop
8	pigs
8	punkin
8	jelly
8	crunchy
8	basketball
8	pasta
8	course
8	himself
8	fancy
8	claus
8	stall
8	times
8	combie
8	roll
8	outfit
8	shake
8	free
8	fourth
8	were
8	zippers
8	sleeve
8	crinkly
8	pies
8	gorilla
8	potato
8	older
8	controller
8	cooking
8	resting
8	bam
8	straw
8	rubber
8	wheels
8	forest
8	nala
8	lazy
8	drums
8	frilly
8	hill
8	crabby
8	ribbet
8	lions
8	lean
8	shadow
8	fifty
8	sometimes
8	hitting
8	hop
8	spinach
8	circles
8	granny
8	posy
8	tools
8	proper
8	haha
8	hen
8	magnets
8	didn't
8	goat
8	camera
8	puppet
8	further
8	take
8	fittis
8	fever
8	holler
8	darling
8	feel
8	stew
8	tubbie
8	sticking
8	weather
8	grover
8	girls
8	fair
8	pigpen
8	late
7	precious
7	tennis
7	missed
7	exactly
7	shorts
