Type	Freqgold
you	24645
the	11211
a	7770
it	7480
that	6590
your	6046
are	5543
i	5146
and	5145
to	5109
what	4831
here	4412
go	4357
on	4315
is	4272
in	4077
no	4014
oh	3540
get	3457
there	3402
this	3395
we	3386
yeah	3267
do	3247
see	3162
up	3111
okay	3095
that's	3013
can	2835
come	2749
don't	2748
gonna	2746
put	2589
mommy	2456
one	2425
say	2327
have	2122
me	2121
look	2085
want	2055
it's	2041
good	1978
wanna	1971
of	1960
with	1949
little	1915
let's	1904
all	1868
like	1839
for	1820
some	1744
huh	1689
down	1684
not	1614
got	1581
my	1579
baby	1574
out	1526
know	1447
now	1372
at	1324
did	1317
i'm	1281
back	1273
where	1273
so	1265
just	1254
he	1215
uhoh	1170
them	1161
right	1150
what's	1125
play	1120
big	1088
more	1069
where's	1061
be	1022
yes	981
boy	949
they	936
kitty	933
henry	916
doing	911
there's	897
book	870
too	861
was	860
how	834
going	833
over	833
take	831
off	831
hi	827
eat	824
think	817
ball	786
can't	776
gotta	755
hey	747
girl	720
mommy's	700
thank	699
sweetie	639
well	629
about	607
again	591
but	589
ready	587
if	585
let	584
those	581
his	572
two	572
him	571
sit	571
water	571
alright	565
here's	537
stop	533
she	526
give	525
need	514
mama	512
we'll	512
these	510
very	504
why	495
way	489
i'll	487
open	486
lemme	483
hold	483
dillon	483
turn	479
mhm	478
her	465
man	453
then	453
something	453
nose	450
read	450
feet	444
maggie	442
does	439
nice	429
done	428
whoa	428
mouth	427
bear	425
around	424
head	422
he's	421
who	416
has	410
three	400
because	398
time	396
juice	396
byebye	390
make	388
stuff	386
hello	381
away	378
getting	377
oops	376
boom	373
bunny	366
will	364
try	357
other	355
outside	353
moo	346
peekaboo	345
another	343
love	341
when	337
hands	335
really	332
tickle	332
pretty	331
morgan	321
find	321
would	321
still	320
goes	319
daddy	318
hair	318
xavier	317
clean	315
wait	311
trying	309
throw	308
didn't	303
better	300
hand	299
help	298
honey	296
watch	296
doggie	295
or	294
from	294
shoes	293
today	292
bite	292
ya	290
had	284
foot	284
pooh	280
says	278
yummy	278
walk	273
drink	270
close	270
chair	267
toy	267
wash	267
green	262
night	261
hear	261
ty	259
bird	259
red	258
goodness	257
thing	257
yellow	253
mandy	252
any	252
door	251
could	249
doesn't	249
careful	248
push	247
silly	247
whee	246
blue	244
tell	244
cat	244
please	242
went	240
else	238
much	238
cheese	235
room	234
ow	234
looking	228
move	227
who's	227
diaper	226
four	225
isn't	224
oink	223
jump	220
face	220
were	219
timmy	219
day	218
mister	218
kiss	217
keep	216
bottle	215
gimme	215
should	214
sweet	214
minute	214
spoon	213
house	212
feel	211
